Número de comprobante,Aciertos,Acreditado,Detalles
964,66,,
1374,,,Cita para aclarar situación escolar.
1572,60,,
2402,93,S,
2590,,N,
2935,82,S,
3203,57,,
3252,,N,
3391,71,S,Cita para entregar documentación.
3970,72,S,Cita para entregar documentación.
4356,43,,
4518,47,,
4523,63,,
4536,,N,
4701,34,,
4884,59,,
4899,96,S,Cita para entregar documentación.
5485,64,,
5503,40,,
5863,56,,
6058,39,,
6911,81,S,
7278,46,,
7303,71,S,Cita para entregar documentación.
7366,,N,
7384,53,,
8120,55,,
8160,54,,
8223,56,,
8523,,N,
8620,39,,
8926,47,,
9325,74,S,Cita para entregar documentación.
9877,104,S,Cita para entregar documentación.
10358,46,,
10779,29,,
11071,41,,
11232,87,S,
11248,50,,
11616,54,,
11780,41,,
12794,38,,
13284,74,S,Cita para entregar documentación.
13391,45,,
13464,49,,
13476,54,,
13508,82,S,Cita para entregar documentación.
13557,55,,
13651,26,,
13890,56,,
14305,72,S,
14643,45,,
14780,,N,
15009,37,,
15573,55,,
15624,80,S,Cita para entregar documentación.
15649,43,,
15869,,N,
16276,46,,
16401,50,,
16408,43,,
16529,,N,
17287,78,S,Cita para entregar documentación.
18087,67,,
18189,62,,
18340,39,,
18407,32,,
18420,51,,
18467,41,,
18479,74,S,
18706,37,,
18895,81,S,Cita para entregar documentación.
19013,55,,
19596,56,,
19699,,N,
19919,54,,
20405,,,Cita para aclarar situación escolar.
20825,,N,
20892,63,,
20932,83,S,
21011,,N,
21078,41,,
21647,70,,
21912,30,,
21969,31,,
22295,31,,
22437,81,S,
23772,38,,
24143,63,,
24480,43,,
24749,36,,
25860,55,,
26625,37,,
27074,32,,
27269,47,,
27304,34,,
27643,39,,
27667,87,S,Cita para entregar documentación.
27823,55,,
27928,46,,
28359,61,,
28439,68,,
28448,33,,
28752,,N,
28903,48,,
29007,54,,
29455,38,,
29480,60,,
29984,,N,
30341,,N,
30591,,N,
31363,78,S,Cita para entregar documentación.
31366,39,,
33153,84,S,Cita para entregar documentación.
33468,,N,
33668,43,,
33741,,N,
34884,47,,
35002,96,S,Cita para entregar documentación.
35177,,N,
35278,103,S,Cita para entregar documentación.
