Número de comprobante,Aciertos,Acreditado,Detalles
2,70,,
32,70,,
110,71,,
257,74,,
318,53,,
536,34,,
719,56,,
1643,57,,
1656,67,,
1764,31,,
2876,60,,
2911,63,,
2950,48,,
3595,65,,
3688,71,,
4103,80,S,Cita para entregar documentación.
4195,44,,
4690,35,,
4866,,,Cita para aclarar situación escolar.
5237,,N,
5430,30,,
5690,47,,
7741,34,,
9083,64,,
9417,68,,
9469,49,,
9945,40,,
9962,66,,
10169,85,S,Cita para entregar documentación.
10662,,N,
11590,28,,
11820,76,,
12041,35,,
12072,,N,
12322,85,S,Cita para entregar documentación.
12330,85,S,Cita para entregar documentación.
13466,78,,
13527,32,,
13532,75,,
13831,,N,
14005,45,,
14133,73,,
14331,,N,
14632,73,,
14693,70,,
14797,85,S,Cita para entregar documentación.
14941,,N,
15127,38,,
15182,,N,
15476,53,,
15763,56,,
15868,41,,
16040,87,S,Cita para entregar documentación.
16097,73,,
16155,78,,
16889,42,,
16907,61,,
16971,46,,
17338,75,,
17418,36,,
17454,60,,
17772,34,,
18806,48,,
19099,56,,
19291,,N,
19523,77,,
19676,91,S,
19872,87,S,Cita para entregar documentación.
19921,48,,
20101,43,,
20277,32,,
20996,61,,
21013,74,,
21039,78,,
21046,,,Cita para aclarar situación escolar.
21254,52,,
21778,44,,
21845,36,,
21981,76,,
22144,31,,
22351,115,S,Cita para entregar documentación.
22584,55,,
23610,43,,
23724,,N,
23727,87,S,
23898,43,,
24081,59,,
24093,49,,
24958,46,,
25260,49,,
25262,,N,
25993,56,,
26386,76,,
26469,,,Cita para aclarar situación escolar.
26526,69,,
26722,79,S,Cita para entregar documentación.
26787,88,S,
26975,74,,
27208,109,S,
27559,46,,
27623,76,,
27755,83,S,Cita para entregar documentación.
27915,90,S,Cita para entregar documentación.
27975,,N,
28141,69,,
28175,52,,
28331,73,,
28461,,N,
29650,38,,
29850,,N,
30189,,N,
30396,,N,
30477,92,S,Cita para entregar documentación.
30609,,N,
30655,,N,
30681,105,S,Cita para entregar documentación.
31694,,N,
32378,77,,
32927,,N,
33190,86,S,Cita para entregar documentación.
33229,82,S,Cita para entregar documentación.
33529,80,S,Cita para entregar documentación.
34091,48,,
34384,,N,
34762,85,S,Cita para entregar documentación.
35017,89,S,
36382,53,,
36497,,N,
