Número de comprobante,Aciertos,Acreditado,Detalles
157,88,S,Cita para entregar documentación.
511,33,,
733,68,,
776,63,,
907,52,,
2054,69,,
2101,54,,
2134,85,S,Cita para entregar documentación.
2356,,N,
2478,81,S,Cita para entregar documentación.
2583,36,,
2734,53,,
2969,68,,
3463,64,,
3692,63,,
3786,,N,
3788,50,,
3947,57,,
4060,24,,
4472,39,,
4521,31,,
4764,39,,
4945,,N,
5165,115,S,Cita para entregar documentación.
5247,46,,
5279,65,,
5811,51,,
6212,79,S,
6918,96,S,Cita para entregar documentación.
7201,57,,
7337,73,S,Cita para entregar documentación.
7366,48,,
7463,51,,
7659,53,,
7811,28,,
7834,80,S,Cita para entregar documentación.
8067,40,,
8165,75,S,
8505,71,,
8865,64,,
9078,29,,
9251,60,,
10270,,N,
10297,93,S,
10647,44,,
10670,47,,
10682,58,,
10695,66,,
10762,65,,
10796,53,,
10950,34,,
11359,79,S,Cita para entregar documentación.
11484,45,,
11495,,N,
11586,37,,
11725,56,,
11947,59,,
12108,90,S,
12626,30,,
13005,41,,
13291,74,S,Cita para entregar documentación.
13640,79,S,
13821,79,S,Cita para entregar documentación.
14633,69,,
14738,49,,
14868,104,S,
15034,73,S,
15244,54,,
15326,,N,
15392,38,,
15585,50,,
15797,37,,
15844,51,,
16229,,,Cita para aclarar situación escolar.
16304,106,S,Cita para entregar documentación.
16475,44,,
16818,63,,
17185,51,,
18431,43,,
18473,,N,
19246,48,,
19593,56,,
19632,26,,
19991,66,,
20120,49,,
20322,56,,
20984,56,,
21033,,N,
21214,70,,
22104,61,,
23273,42,,
23292,48,,
23664,52,,
24023,30,,
24326,22,,
24545,66,,
24709,92,S,
25031,59,,
25706,41,,
25817,46,,
26248,50,,
26362,89,S,Cita para entregar documentación.
26424,78,S,Cita para entregar documentación.
27242,,N,
27617,66,,
28130,,N,
28313,37,,
28375,85,S,Cita para entregar documentación.
28935,69,,
31051,64,,
31225,,N,
31879,,N,
32127,55,,
32905,,N,
33347,71,,
33669,,N,
33803,,N,
33996,,N,
34267,,N,
34457,,N,
34883,82,S,Cita para entregar documentación.
36507,48,,
36774,87,S,Cita para entregar documentación.
36804,,N,
