Número de comprobante,Aciertos,Acreditado,Detalles
43,82,,
67,79,,
124,,N,
167,75,,
215,90,,
245,107,S,Cita para entregar documentación.
277,88,,
345,75,,
369,106,S,Cita para entregar documentación.
378,64,,
382,109,S,Cita para entregar documentación.
471,75,,
668,100,S,Cita para entregar documentación.
743,104,S,
776,91,,
873,111,S,
1005,83,,
1144,87,,
1391,,N,
1415,69,,
1430,59,,
1473,45,,
1483,56,,
1503,95,S,Cita para entregar documentación.
1606,35,,
1715,94,S,Cita para entregar documentación.
1828,,N,
1889,50,,
1906,91,,
1938,,N,
1984,38,,
2117,115,S,Cita para entregar documentación.
2119,61,,
2260,57,,
2274,,N,
2373,82,,
2393,93,S,Cita para entregar documentación.
2492,92,,
2587,41,,
2824,,N,
2943,75,,
2988,66,,
2990,29,,
3027,,N,
3059,54,,
3079,92,,
3090,98,S,
3124,94,S,Cita para entregar documentación.
3159,48,,
3176,109,S,Cita para entregar documentación.
3211,101,S,Cita para entregar documentación.
3226,85,,
3429,104,S,
3456,100,S,Cita para entregar documentación.
3572,112,S,Cita para entregar documentación.
3581,,N,
3740,104,S,
3856,95,S,Cita para entregar documentación.
3917,40,,
3953,72,,
3956,108,S,
3959,106,S,
3975,86,,
4021,93,S,Cita para entregar documentación.
4076,89,,
4286,,N,
4321,68,,
4357,27,,
4471,70,,
4554,51,,
4647,98,S,Cita para entregar documentación.
4772,62,,
4825,,N,
4928,92,,
5213,51,,
5257,,N,
5367,90,,
5417,60,,
5421,69,,
5496,61,,
5512,85,,
5558,100,S,Cita para entregar documentación.
5675,80,,
5684,89,,
5844,57,,
6043,57,,
6059,88,,
6068,83,,
6190,89,,
6210,99,S,Cita para entregar documentación.
6372,60,,
6388,68,,
6552,75,,
6617,,N,
6662,48,,
6718,37,,
6722,88,,
6845,69,,
6846,81,,
6895,95,S,Cita para entregar documentación.
6907,58,,
6938,91,,
7009,94,S,Cita para entregar documentación.
7106,34,,
7162,88,,
7191,,N,
7217,56,,
7378,78,,
7385,,N,
7403,91,,
7443,102,S,Cita para entregar documentación.
7493,76,,
7494,100,S,Cita para entregar documentación.
7529,86,,
7660,73,,
7903,99,S,Cita para entregar documentación.
8162,74,,
8187,56,,
8216,103,S,Cita para entregar documentación.
8283,85,,
8298,,N,
8405,41,,
8463,72,,
8518,32,,
8536,65,,
8660,70,,
8777,80,,
8832,59,,
8852,76,,
8884,108,S,
9188,36,,
9193,,N,
9493,93,S,
9513,70,,
9673,86,,
9674,79,,
9892,66,,
10031,63,,
10115,63,,
10174,,N,
10180,109,S,Cita para entregar documentación.
10577,71,,
10735,103,S,
10972,52,,
11007,62,,
11033,60,,
11048,,N,
11584,100,S,Cita para entregar documentación.
11636,30,,
11669,77,,
11697,,N,
11788,58,,
11906,79,,
11932,56,,
11986,88,,
12031,99,S,Cita para entregar documentación.
12310,53,,
12339,87,,
12502,55,,
12528,71,,
12588,32,,
12769,102,S,
12809,,N,
12905,115,S,
12912,96,S,
12989,39,,
13100,100,S,Cita para entregar documentación.
13213,77,,
13226,107,S,
13229,100,S,Cita para entregar documentación.
13273,114,S,Cita para entregar documentación.
13365,94,S,Cita para entregar documentación.
13413,59,,
13439,98,S,
13470,107,S,
13483,94,S,
13586,45,,
13733,48,,
13889,,N,
13902,,N,
13944,53,,
13996,93,S,Cita para entregar documentación.
14290,58,,
14609,96,S,Cita para entregar documentación.
14615,65,,
14689,97,S,Cita para entregar documentación.
14767,97,S,Cita para entregar documentación.
14869,94,S,
14889,35,,
14999,48,,
15151,75,,
15177,59,,
15221,54,,
15570,76,,
15575,,N,
15599,93,S,Cita para entregar documentación.
15602,103,S,
15675,,N,
15895,112,S,
15910,57,,
15954,,,Cita para aclarar situación escolar.
16053,100,S,
16240,63,,
16384,93,S,Cita para entregar documentación.
16478,70,,
16672,83,,
16737,106,S,Cita para entregar documentación.
16867,40,,
16880,,N,
16907,44,,
16955,60,,
16967,92,,
17048,68,,
17075,,N,
17098,,N,
17108,,N,
17116,41,,
17180,109,S,
17300,83,,
17315,96,S,Cita para entregar documentación.
17341,109,S,Cita para entregar documentación.
17366,100,S,Cita para entregar documentación.
17437,61,,
17448,97,S,
17476,56,,
17565,48,,
17873,95,S,Cita para entregar documentación.
17949,87,,
17973,64,,
18017,,,Cita para aclarar situación escolar.
18061,84,,
18063,107,S,
18165,46,,
18205,115,S,
18224,89,,
18253,104,S,
18334,72,,
18345,70,,
18376,78,,
18454,73,,
18502,78,,
18509,,N,
18529,47,,
18746,114,S,
18747,105,S,
18910,105,S,
18973,89,,
19016,88,,
19028,,N,
19061,,N,
19165,45,,
19167,,N,
19202,99,S,Cita para entregar documentación.
19279,,N,
19292,105,S,
19495,87,,
19599,22,,
19606,38,,
19611,,N,
19615,,N,
19859,99,S,
19935,47,,
20130,114,S,
20136,80,,
20167,,N,
20349,73,,
20364,56,,
20391,72,,
20432,90,,
20511,73,,
20590,57,,
20698,,N,
20824,89,,
20847,81,,
20886,87,,
20906,90,,
20937,102,S,Cita para entregar documentación.
21019,38,,
21119,60,,
21163,85,,
21176,94,S,Cita para entregar documentación.
21239,90,,
21305,,N,
21355,94,S,
21393,41,,
21450,41,,
21464,107,S,
21576,97,S,Cita para entregar documentación.
21681,51,,
21714,65,,
21973,34,,
22140,48,,
22159,97,S,Cita para entregar documentación.
22579,58,,
22633,99,S,Cita para entregar documentación.
22645,84,,
22856,44,,
23259,99,S,
23383,97,S,
23465,68,,
23516,73,,
23535,84,,
23664,64,,
23839,108,S,Cita para entregar documentación.
24343,46,,
24399,102,S,
24512,110,S,Cita para entregar documentación.
24620,,N,
24674,100,S,Cita para entregar documentación.
24717,75,,
24745,,N,
24763,,N,
24839,89,,
24903,92,,
24904,81,,
25025,,N,
25202,,N,
25238,101,S,
25244,106,S,Cita para entregar documentación.
25549,81,,
25709,68,,
25859,37,,
25864,47,,
25900,77,,
25936,90,,
26075,71,,
26076,97,S,Cita para entregar documentación.
26080,57,,
26187,,N,
26222,,N,
26269,31,,
26276,69,,
26396,99,S,
26412,43,,
26417,51,,
26553,79,,
26574,50,,
26628,35,,
26841,76,,
26997,,N,
27018,56,,
27044,54,,
27056,44,,
27236,75,,
27247,82,,
27280,84,,
27283,59,,
27359,87,,
27502,72,,
27538,52,,
27642,76,,
27698,44,,
27792,48,,
27972,86,,
28023,58,,
28038,31,,
28257,46,,
28331,92,,
28383,53,,
28482,76,,
28497,90,,
28504,84,,
28527,115,S,Cita para entregar documentación.
28563,,N,
28600,79,,
