Número de comprobante,Aciertos,Acreditado,Detalles
83,,,Cita para aclarar situación escolar.
94,54,,
155,74,,
179,105,S,Cita para entregar documentación.
224,41,,
227,112,S,
248,93,,
288,77,,
337,89,,
408,52,,
479,106,S,Cita para entregar documentación.
523,79,,
528,91,,
675,78,,
692,,N,
700,77,,
705,81,,
840,,N,
849,61,,
938,71,,
969,59,,
1063,88,,
1184,74,,
1202,94,,
1228,41,,
1324,,N,
1358,79,,
1400,94,,
1487,60,,
1520,,N,
1533,55,,
1550,47,,
1707,59,,
1796,77,,
1832,97,S,Cita para entregar documentación.
1847,72,,
1856,103,S,
2063,107,S,Cita para entregar documentación.
2233,30,,
2305,64,,
2365,,N,
2400,104,S,
2543,89,,
2680,100,S,Cita para entregar documentación.
2757,93,,
2877,75,,
2948,,N,
3004,70,,
3031,51,,
3079,103,S,Cita para entregar documentación.
3490,101,S,Cita para entregar documentación.
3537,67,,
3728,100,S,
3732,83,,
3752,56,,
3787,53,,
3800,,N,
3860,75,,
3933,,N,
3990,,N,
4064,70,,
4106,,N,
4114,,N,
4123,56,,
4300,82,,
4372,89,,
4374,,N,
4492,28,,
4658,97,S,Cita para entregar documentación.
4760,94,,
4833,,N,
4879,36,,
4921,66,,
4947,104,S,Cita para entregar documentación.
5038,80,,
5088,37,,
5133,70,,
5144,,N,
5357,,N,
5415,92,,
5693,62,,
6119,90,,
6173,63,,
6181,94,,
6194,51,,
6274,84,,
6300,92,,
6310,39,,
6346,102,S,
6450,82,,
6567,101,S,Cita para entregar documentación.
6644,89,,
6677,61,,
6706,61,,
6716,,N,
6796,,N,
6839,35,,
6933,49,,
6959,94,,
7084,77,,
7224,52,,
7241,87,,
7332,41,,
7387,63,,
7624,56,,
7674,81,,
7744,51,,
7850,,N,
7896,108,S,Cita para entregar documentación.
7957,63,,
8039,89,,
8052,40,,
8071,55,,
8090,63,,
8092,88,,
8153,51,,
8197,39,,
8275,101,S,
8327,52,,
8450,70,,
8495,45,,
8505,48,,
8526,98,S,
8613,80,,
