Número de comprobante,Aciertos,Acreditado,Detalles
8,92,S,Cita para entregar documentación.
115,113,S,Cita para entregar documentación.
124,79,,
132,95,S,
200,79,,
217,39,,
222,83,,
288,57,,
301,109,S,Cita para entregar documentación.
341,,N,
348,,N,
431,43,,
537,102,S,Cita para entregar documentación.
675,49,,
900,108,S,Cita para entregar documentación.
1013,45,,
1284,83,,
1295,,N,
1328,,N,
1558,47,,
1572,85,,
1579,,N,
1597,,N,
1623,102,S,Cita para entregar documentación.
1743,98,S,Cita para entregar documentación.
1744,49,,
1931,61,,
2034,70,,
2091,78,,
2092,36,,
2108,70,,
2192,55,,
2343,,N,
2463,65,,
2598,56,,
2629,95,S,Cita para entregar documentación.
2673,49,,
2789,91,S,Cita para entregar documentación.
3005,81,,
3028,,N,
3060,48,,
3062,94,S,Cita para entregar documentación.
3133,,N,
3230,103,S,Cita para entregar documentación.
3265,62,,
3312,118,S,Cita para entregar documentación.
3333,98,S,Cita para entregar documentación.
3463,61,,
3501,46,,
3591,96,S,Cita para entregar documentación.
3645,28,,
3813,,,Cita para aclarar situación escolar.
3943,95,S,Cita para entregar documentación.
3952,76,,
4031,83,,
4123,102,S,
4127,,N,
4176,119,S,
4212,73,,
4338,72,,
4362,79,,
4466,89,S,Cita para entregar documentación.
4491,,N,
4501,,N,
4634,58,,
4805,95,S,Cita para entregar documentación.
4863,50,,
4869,101,S,Cita para entregar documentación.
5319,80,,
5475,37,,
5572,70,,
5662,69,,
5670,96,S,
5714,,N,
5742,91,S,Cita para entregar documentación.
5749,,N,
5794,91,S,Cita para entregar documentación.
5806,107,S,Cita para entregar documentación.
5899,,N,
5930,58,,
5954,115,S,Cita para entregar documentación.
5971,66,,
6047,97,S,
6188,93,S,
6265,94,S,Cita para entregar documentación.
6324,70,,
6372,100,S,
6466,79,,
6554,70,,
6594,90,S,Cita para entregar documentación.
6639,58,,
6661,104,S,
6715,93,S,Cita para entregar documentación.
6780,91,S,Cita para entregar documentación.
6794,59,,
7046,,N,
7091,76,,
7235,51,,
7395,94,S,Cita para entregar documentación.
7424,,,Cita para aclarar situación escolar.
7808,102,S,Cita para entregar documentación.
8052,,N,
8223,46,,
8242,54,,
8243,80,,
8301,67,,
8406,78,,
8505,51,,
8669,47,,
8908,72,,
8981,71,,
9063,,N,
9202,88,S,
9220,,N,
9376,67,,
9445,74,,
9586,73,,
9899,45,,
9909,62,,
9923,98,S,Cita para entregar documentación.
9955,102,S,Cita para entregar documentación.
10044,94,S,Cita para entregar documentación.
10062,72,,
10170,44,,
10362,78,,
10365,72,,
10455,51,,
10754,44,,
10915,86,,
10984,106,S,Cita para entregar documentación.
11005,76,,
11011,79,,
11023,60,,
11080,64,,
11182,,N,
11278,70,,
11455,,N,
11718,,N,
11900,79,,
12104,82,,
12113,,N,
12115,99,S,Cita para entregar documentación.
12158,42,,
12182,98,S,Cita para entregar documentación.
12192,85,,
12345,85,,
12353,41,,
12377,50,,
12518,94,S,Cita para entregar documentación.
12594,83,,
12636,,N,
13094,35,,
13130,77,,
13204,41,,
13231,44,,
13316,80,,
13351,40,,
13452,59,,
13466,99,S,Cita para entregar documentación.
13508,87,,
13553,69,,
13574,72,,
13719,58,,
13731,86,,
13879,84,,
14193,,N,
14246,,N,
14386,52,,
14446,54,,
14701,70,,
14802,86,,
14850,,N,
14857,110,S,
15095,84,,
15426,110,S,Cita para entregar documentación.
15514,95,S,
15707,110,S,
15854,51,,
15928,99,S,
15952,86,,
15981,57,,
16012,99,S,Cita para entregar documentación.
16021,67,,
16179,,N,
16227,74,,
16283,56,,
16374,105,S,
16507,56,,
16574,,N,
16656,100,S,Cita para entregar documentación.
16925,51,,
17052,96,S,Cita para entregar documentación.
17173,,N,
17516,70,,
17574,85,,
17643,65,,
17908,78,,
17967,83,,
17992,110,S,Cita para entregar documentación.
18019,80,,
