Número de comprobante,Aciertos,Acreditado,Detalles
54,113,S,Cita para entregar documentación.
150,,N,
213,113,S,Cita para entregar documentación.
243,32,,
396,,N,
521,88,,
643,78,,
808,94,S,Cita para entregar documentación.
880,53,,
931,99,S,Cita para entregar documentación.
963,82,,
1002,105,S,Cita para entregar documentación.
1059,97,S,
1066,101,S,
1106,96,S,Cita para entregar documentación.
1249,57,,
1355,94,S,Cita para entregar documentación.
1472,97,S,
1537,49,,
1550,,N,
1582,,,Cita para aclarar situación escolar.
1651,108,S,Cita para entregar documentación.
1669,81,,
1676,66,,
1775,83,,
1811,57,,
1840,49,,
1877,70,,
2149,100,S,Cita para entregar documentación.
2158,70,,
2174,95,S,
2462,65,,
2585,,,Cita para aclarar situación escolar.
2594,93,,
2830,,N,
2858,36,,
2920,84,,
3068,55,,
3103,70,,
3228,82,,
3259,92,,
3333,112,S,Cita para entregar documentación.
3339,109,S,Cita para entregar documentación.
3505,101,S,Cita para entregar documentación.
3594,57,,
3763,52,,
3775,113,S,
3920,83,,
4102,104,S,Cita para entregar documentación.
4116,70,,
4319,97,S,Cita para entregar documentación.
4336,95,S,Cita para entregar documentación.
4494,113,S,Cita para entregar documentación.
4554,89,,
4776,,N,
4796,,N,
5098,,N,
5241,,N,
5510,71,,
5516,97,S,Cita para entregar documentación.
5592,,N,
5710,92,,
5742,93,,
5761,85,,
5943,,N,
5967,94,S,
6087,107,S,Cita para entregar documentación.
6210,84,,
6211,89,,
6235,43,,
6270,66,,
6286,59,,
6518,65,,
6555,103,S,
6564,,N,
6591,,N,
6637,,N,
6648,106,S,Cita para entregar documentación.
6651,61,,
6679,,N,
6804,99,S,Cita para entregar documentación.
7150,100,S,Cita para entregar documentación.
7341,,,Cita para aclarar situación escolar.
7595,100,S,
8216,87,,
8254,49,,
8399,,N,
8430,42,,
8457,70,,
8474,,N,
8611,90,,
9074,93,,
9091,70,,
9171,91,,
9506,109,S,Cita para entregar documentación.
9572,88,,
9610,101,S,Cita para entregar documentación.
9664,56,,
9730,102,S,
9786,83,,
9792,52,,
9897,53,,
10343,93,,
10350,76,,
10626,90,,
10669,68,,
10761,80,,
10774,38,,
10891,86,,
11055,99,S,
11174,63,,
11418,93,,
11445,75,,
11452,80,,
11838,94,S,Cita para entregar documentación.
11904,,N,
12042,47,,
12048,68,,
12161,108,S,Cita para entregar documentación.
12252,101,S,Cita para entregar documentación.
12256,40,,
12358,94,S,Cita para entregar documentación.
12763,47,,
12776,42,,
12841,96,S,Cita para entregar documentación.
12931,,N,
13119,,N,
13278,92,,
13392,48,,
13464,111,S,
13502,41,,
13503,106,S,Cita para entregar documentación.
13528,81,,
13661,,N,
13663,89,,
13738,45,,
13770,51,,
13914,92,,
14150,86,,
14194,,N,
14223,108,S,Cita para entregar documentación.
14411,97,S,Cita para entregar documentación.
14427,,N,
14524,,N,
14596,94,S,
14726,108,S,Cita para entregar documentación.
14777,93,,
14862,109,S,Cita para entregar documentación.
14873,75,,
14906,104,S,Cita para entregar documentación.
14932,83,,
15044,,C,
15079,67,,
15236,113,S,Cita para entregar documentación.
15421,41,,
15490,108,S,
15572,104,S,Cita para entregar documentación.
15598,,N,
15607,107,S,
15981,29,,
15998,104,S,Cita para entregar documentación.
16105,61,,
16328,110,S,Cita para entregar documentación.
16330,,C,
16363,96,S,Cita para entregar documentación.
16453,89,,
16513,98,S,
16571,,C,
16672,99,S,Cita para entregar documentación.
16916,76,,
17007,101,S,Cita para entregar documentación.
17032,,N,
17070,92,,
17481,64,,
17643,,N,
17680,,N,
17752,,C,
17853,76,,
18031,84,,
18144,64,,
18205,112,S,
18240,104,S,Cita para entregar documentación.
18546,89,,
18575,,N,
18617,92,,
18753,101,S,Cita para entregar documentación.
18763,75,,
18844,105,S,Cita para entregar documentación.
18935,,N,
18953,76,,
18958,,N,
19048,,N,
19057,106,S,Cita para entregar documentación.
19157,106,S,
19175,98,S,Cita para entregar documentación.
19254,,N,
19278,106,S,
19329,99,S,Cita para entregar documentación.
19922,62,,
19930,86,,
19970,,N,
19980,111,S,Cita para entregar documentación.
20084,46,,
20167,88,,
20182,74,,
20300,,N,
20350,106,S,Cita para entregar documentación.
20435,,N,
20673,92,,
20715,64,,
20754,102,S,
20851,,N,
21004,64,,
21006,80,,
21071,67,,
21268,,N,
21338,,N,
21426,,N,
21433,102,S,Cita para entregar documentación.
21562,96,S,Cita para entregar documentación.
21581,113,S,
21848,115,S,
22079,73,,
22166,109,S,Cita para entregar documentación.
22386,,N,
22433,57,,
22601,74,,
22817,,N,
22861,,N,
22866,,N,
23106,61,,
23147,,N,
23212,81,,
23384,70,,
23471,85,,
23673,,N,
23712,81,,
23895,48,,
24171,102,S,Cita para entregar documentación.
24296,41,,
24338,87,,
24417,84,,
24419,,N,
24556,91,,
24630,109,S,Cita para entregar documentación.
24719,91,,
24872,60,,
24906,95,S,Cita para entregar documentación.
24915,97,S,Cita para entregar documentación.
25006,100,S,Cita para entregar documentación.
25097,,N,
25131,112,S,
25165,68,,
25212,80,,
25409,,N,
25631,112,S,
25729,114,S,Cita para entregar documentación.
25892,60,,
26401,81,,
26471,,N,
26572,80,,
26667,,N,
26668,115,S,Cita para entregar documentación.
26672,110,S,Cita para entregar documentación.
26705,102,S,Cita para entregar documentación.
26746,,,Cita para aclarar situación escolar.
26751,103,S,Cita para entregar documentación.
26815,44,,
26833,,,Cita para aclarar situación escolar.
26839,94,S,Cita para entregar documentación.
26965,99,S,
27182,58,,
27286,105,S,Cita para entregar documentación.
27608,112,S,Cita para entregar documentación.
27639,64,,
27702,36,,
27815,77,,
28027,86,,
28168,53,,
28604,103,S,
28710,,N,
28819,108,S,
28954,95,S,Cita para entregar documentación.
28995,104,S,
29001,72,,
29137,68,,
29252,,N,
29261,,N,
29422,,N,
29558,81,,
29598,72,,
29615,106,S,Cita para entregar documentación.
29687,56,,
29855,81,,
29884,71,,
29915,,N,
29999,78,,
30076,55,,
30457,109,S,Cita para entregar documentación.
30497,105,S,Cita para entregar documentación.
30611,111,S,Cita para entregar documentación.
30692,51,,
30697,58,,
30711,107,S,Cita para entregar documentación.
30724,94,S,Cita para entregar documentación.
30731,80,,
30737,,N,
30805,,N,
30848,66,,
30859,78,,
30866,99,S,Cita para entregar documentación.
30876,103,S,Cita para entregar documentación.
31105,,N,
31192,83,,
31387,55,,
31426,,N,
31432,102,S,Cita para entregar documentación.
31485,87,,
