Número de comprobante,Aciertos,Acreditado,Detalles
23,102,S,
198,,N,
244,,N,
334,78,S,Cita para entregar documentación.
407,,N,
446,,,Cita para aclarar situación escolar.
450,112,S,
475,90,S,Cita para entregar documentación.
610,112,S,Cita para entregar documentación.
612,,N,
643,114,S,
673,,N,
729,53,,
747,87,S,Cita para entregar documentación.
766,98,S,Cita para entregar documentación.
802,,N,
813,,N,
863,88,S,
873,92,S,Cita para entregar documentación.
901,90,S,Cita para entregar documentación.
940,86,S,Cita para entregar documentación.
971,106,S,Cita para entregar documentación.
980,,N,
1200,65,,
1306,98,S,Cita para entregar documentación.
1389,37,,
1392,87,S,
1465,117,S,
1524,89,S,Cita para entregar documentación.
1576,,N,
1605,63,,
1681,71,,
1727,,N,
1853,61,,
2132,102,S,Cita para entregar documentación.
2190,56,,
2371,43,,
2483,80,S,Cita para entregar documentación.
2609,92,S,Cita para entregar documentación.
2633,,N,
2675,101,S,
2686,61,,
2737,92,S,Cita para entregar documentación.
2759,82,S,Cita para entregar documentación.
2812,55,,
2945,84,S,
3109,105,S,Cita para entregar documentación.
3165,99,S,Cita para entregar documentación.
3291,,N,
3389,70,,
3437,,N,
3457,88,S,Cita para entregar documentación.
3467,76,,
3619,82,S,Cita para entregar documentación.
3663,47,,
3816,34,,
3857,55,,
3896,106,S,Cita para entregar documentación.
4025,85,S,Cita para entregar documentación.
4026,79,S,
4087,96,S,Cita para entregar documentación.
4177,80,S,
4270,107,S,Cita para entregar documentación.
4299,96,S,
4302,104,S,
4303,77,S,Cita para entregar documentación.
4313,,N,
4353,,,Cita para aclarar situación escolar.
4402,83,S,Cita para entregar documentación.
4513,,N,
4530,72,,
4595,108,S,Cita para entregar documentación.
4651,111,S,
4729,33,,
4824,,,Cita para aclarar situación escolar.
4879,99,S,
4934,85,S,Cita para entregar documentación.
5028,45,,
5100,101,S,Cita para entregar documentación.
5101,27,,
5199,,N,
5327,76,,
5383,,N,
5397,62,,
5435,70,,
5669,66,,
5830,76,,
5853,101,S,Cita para entregar documentación.
6038,70,,
6060,62,,
6087,100,S,Cita para entregar documentación.
6180,90,S,
6207,42,,
6333,79,S,Cita para entregar documentación.
6421,75,,
6514,77,S,Cita para entregar documentación.
6559,40,,
6588,33,,
6595,94,S,
6626,,N,
6776,110,S,Cita para entregar documentación.
6939,85,S,
6999,66,,
7029,48,,
7303,,N,
7424,88,S,Cita para entregar documentación.
7480,93,S,Cita para entregar documentación.
8049,110,S,Cita para entregar documentación.
8160,91,S,
8257,107,S,
8546,86,S,Cita para entregar documentación.
8605,89,S,Cita para entregar documentación.
8647,33,,
8677,99,S,
8693,65,,
8758,,N,
8872,88,S,Cita para entregar documentación.
9017,63,,
9244,65,,
9302,62,,
9308,80,S,Cita para entregar documentación.
9324,,N,
9354,35,,
9442,43,,
9499,36,,
9634,64,,
9638,56,,
9703,42,,
9930,70,,
9981,83,S,Cita para entregar documentación.
10331,65,,
10348,110,S,Cita para entregar documentación.
10469,57,,
10514,,N,
10596,98,S,Cita para entregar documentación.
10804,,,Cita para aclarar situación escolar.
10871,77,S,Cita para entregar documentación.
10984,,N,
11008,63,,
11181,35,,
11257,92,S,Cita para entregar documentación.
11365,69,,
11385,58,,
11440,56,,
11573,83,S,Cita para entregar documentación.
11739,,N,
11833,73,,
11844,92,S,Cita para entregar documentación.
11872,109,S,Cita para entregar documentación.
11990,46,,
12100,35,,
12337,45,,
12407,36,,
12658,62,,
12669,38,,
12719,,,Cita para aclarar situación escolar.
12736,,,Cita para aclarar situación escolar.
12768,88,S,Cita para entregar documentación.
12775,113,S,Cita para entregar documentación.
12904,89,S,
12941,83,S,Cita para entregar documentación.
12964,68,,
13043,,N,
13138,100,S,
13139,42,,
13150,61,,
13540,69,,
13550,52,,
13674,58,,
13676,,N,
13788,58,,
13813,,N,
13820,62,,
13916,90,S,Cita para entregar documentación.
13995,54,,
14087,103,S,Cita para entregar documentación.
14089,102,S,Cita para entregar documentación.
14094,90,S,
14108,35,,
14162,51,,
14240,100,S,Cita para entregar documentación.
14348,74,,
14372,37,,
