Número de comprobante,Aciertos,Acreditado,Detalles
12,56,,
14,25,,
19,53,,
21,,N,
34,78,,
35,101,S,Cita para entregar documentación.
38,,N,
48,40,,
58,58,,
60,37,,
63,101,S,Cita para entregar documentación.
66,42,,
70,76,,
83,,N,
91,35,,
93,42,,
96,79,,
106,103,S,Cita para entregar documentación.
113,55,,
117,94,,
128,85,,
139,44,,
140,,N,
143,64,,
155,,N,
156,79,,
161,99,S,
164,,N,
165,34,,
171,41,,
176,54,,
181,64,,
189,54,,
191,56,,
193,36,,
208,,N,
216,,N,
222,92,,
227,105,S,
229,44,,
232,28,,
238,92,,
247,,N,
248,53,,
249,69,,
251,112,S,Cita para entregar documentación.
273,41,,
276,49,,
287,88,,
302,82,,
306,41,,
314,34,,
316,28,,
328,,N,
342,76,,
347,28,,
350,44,,
355,63,,
373,48,,
386,70,,
388,32,,
390,62,,
391,,N,
393,,N,
396,80,,
404,65,,
430,,N,
440,75,,
443,51,,
463,58,,
464,,N,
472,44,,
475,95,S,Cita para entregar documentación.
489,47,,
496,76,,
505,96,S,
512,42,,
521,33,,
535,85,,
558,,N,
563,69,,
565,,N,
587,63,,
594,40,,
609,62,,
634,53,,
640,46,,
641,38,,
642,52,,
643,69,,
659,50,,
667,,N,
678,55,,
701,41,,
703,58,,
726,46,,
729,41,,
753,73,,
757,81,,
765,53,,
766,38,,
769,59,,
771,29,,
809,45,,
810,45,,
816,47,,
819,27,,
825,75,,
828,,N,
840,63,,
841,,N,
850,54,,
874,56,,
887,47,,
895,34,,
903,86,,
926,27,,
932,50,,
940,27,,
969,40,,
977,39,,
1018,,N,
1032,77,,
1042,44,,
1051,73,,
1053,76,,
1076,55,,
1079,42,,
1080,92,,
1092,71,,
1103,,N,
1119,24,,
1130,,N,
1131,60,,
1136,,N,
1139,101,S,Cita para entregar documentación.
1142,58,,
1147,36,,
1186,87,,
1202,41,,
1211,34,,
1214,81,,
1226,37,,
1240,34,,
1244,46,,
1261,40,,
1263,56,,
1264,71,,
1277,33,,
1301,36,,
1315,51,,
1318,64,,
1319,50,,
1321,77,,
1327,64,,
1329,51,,
1331,,N,
1333,,N,
1337,70,,
1338,42,,
1341,52,,
1351,105,S,
1354,51,,
1355,54,,
1358,59,,
1360,57,,
1370,29,,
1372,55,,
1375,44,,
1376,58,,
1378,46,,
1380,62,,
1385,,N,
1388,39,,
1394,52,,
1404,47,,
1406,54,,
1411,,N,
1412,35,,
1413,55,,
1420,57,,
1424,,N,
1426,91,,
1431,35,,
1433,72,,
1434,39,,
1450,,N,
1456,42,,
1461,55,,
1463,81,,
1465,108,S,
1475,38,,
1480,80,,
1481,43,,
1482,,N,
1486,92,,
1491,44,,
1499,,N,
1504,41,,
1509,73,,
1510,75,,
1513,36,,
1514,56,,
1525,,N,
1528,46,,
1531,,N,
1535,45,,
1536,75,,
1540,37,,
1548,56,,
1550,41,,
1562,49,,
1563,44,,
1564,79,,
1565,38,,
1567,47,,
1575,40,,
1582,94,,
1594,77,,
1608,58,,
1614,,N,
1625,26,,
1629,35,,
1632,47,,
1633,48,,
1638,50,,
1641,70,,
1646,42,,
1654,101,S,
1657,87,,
1661,52,,
1679,52,,
1680,,N,
1683,58,,
1685,72,,
1686,55,,
1689,38,,
1694,55,,
1695,50,,
1703,50,,
1704,28,,
1711,99,S,Cita para entregar documentación.
1717,58,,
1726,60,,
1744,75,,
1748,53,,
1753,50,,
1755,40,,
1760,107,S,Cita para entregar documentación.
1769,,N,
1771,60,,
1782,66,,
1783,99,S,
1787,85,,
1792,54,,
1793,37,,
1797,67,,
1802,69,,
1807,76,,
1808,64,,
1813,38,,
1817,85,,
1822,25,,
1834,81,,
1854,,N,
1855,58,,
1869,63,,
1870,54,,
1873,43,,
1876,37,,
1887,73,,
1888,43,,
1890,94,,
1891,57,,
1896,57,,
1898,44,,
1900,,N,
1904,26,,
1918,72,,
1919,,N,
1937,52,,
1943,23,,
1953,51,,
1983,104,S,Cita para entregar documentación.
1987,39,,
2015,96,S,
2017,106,S,
2026,64,,
2029,63,,
2036,105,S,Cita para entregar documentación.
2040,98,S,
2048,107,S,Cita para entregar documentación.
2053,48,,
2059,58,,
2060,84,,
2065,29,,
2069,80,,
2076,42,,
2085,,N,
2087,79,,
2090,37,,
2094,73,,
2095,43,,
2109,103,S,Cita para entregar documentación.
2112,48,,
2113,32,,
2123,49,,
2132,43,,
2134,55,,
2144,,N,
2162,36,,
2175,86,,
2180,53,,
2188,61,,
2190,92,,
2201,47,,
2231,56,,
2234,,N,
2236,58,,
2238,54,,
2240,53,,
2244,38,,
2245,88,,
2257,45,,
2261,37,,
2262,46,,
2264,55,,
2268,77,,
2272,64,,
2273,60,,
2279,99,S,Cita para entregar documentación.
2282,104,S,
2284,66,,
2285,39,,
2287,52,,
2290,97,S,
2312,35,,
2313,71,,
2314,99,S,
2321,108,S,
2323,30,,
2340,60,,
2347,50,,
2362,,N,
2363,79,,
2368,61,,
2370,50,,
2378,69,,
2397,,N,
2403,72,,
2406,64,,
2409,,N,
2414,102,S,Cita para entregar documentación.
2417,54,,
2418,53,,
2420,27,,
2421,78,,
2425,55,,
2428,,N,
2434,81,,
2436,85,,
2439,,N,
2441,83,,
2450,33,,
2452,,N,
2455,,N,
2456,56,,
2460,,N,
2465,48,,
2471,73,,
2472,,N,
2474,56,,
2475,80,,
2477,46,,
2491,51,,
2497,47,,
2499,61,,
2500,94,,
2514,35,,
2519,41,,
2521,,N,
2527,38,,
2531,,N,
2540,30,,
2544,54,,
2547,70,,
2555,45,,
2563,49,,
2574,45,,
2577,44,,
2578,79,,
2582,43,,
2588,49,,
2593,28,,
2594,50,,
2602,56,,
2618,51,,
2620,100,S,Cita para entregar documentación.
2645,69,,
2650,79,,
2651,,N,
2653,38,,
2654,,N,
2656,102,S,Cita para entregar documentación.
2672,78,,
2678,32,,
2681,28,,
2692,76,,
2699,47,,
2700,98,S,Cita para entregar documentación.
2707,39,,
2718,40,,
2731,62,,
2751,32,,
2752,38,,
2757,40,,
2765,80,,
2774,,N,
2779,36,,
2780,55,,
2784,31,,
2785,76,,
2795,34,,
2808,59,,
2842,,N,
2855,68,,
2864,44,,
2889,34,,
2890,111,S,
2896,25,,
2912,,N,
2927,45,,
2930,34,,
2931,47,,
2938,92,,
2948,66,,
2950,33,,
2953,39,,
2964,58,,
2966,,N,
2974,82,,
2980,,N,
2985,86,,
2989,111,S,Cita para entregar documentación.
3001,97,S,
3006,47,,
3022,65,,
3032,,N,
3036,68,,
3049,49,,
3055,77,,
3067,41,,
3077,23,,
3093,84,,
3104,57,,
3109,,N,
3110,58,,
3113,66,,
3117,54,,
3122,47,,
3130,32,,
3132,57,,
3133,43,,
3146,93,,
3147,63,,
3150,38,,
3153,52,,
3157,,N,
3158,47,,
3162,73,,
3164,49,,
3167,37,,
3170,31,,
3172,42,,
3179,54,,
3186,45,,
3192,47,,
3194,43,,
3201,,N,
3204,92,,
3205,88,,
3206,46,,
3207,73,,
3218,71,,
3219,48,,
3225,53,,
3228,42,,
3235,35,,
3238,37,,
3244,49,,
3246,36,,
3247,89,,
3249,,N,
3251,60,,
3257,62,,
3258,64,,
3264,48,,
3265,53,,
3267,53,,
3270,46,,
3275,31,,
3276,61,,
3277,39,,
3280,74,,
3283,,N,
3290,71,,
3292,,N,
3300,,N,
3326,38,,
3334,23,,
3342,,N,
3343,85,,
3344,,N,
3348,37,,
3352,41,,
3353,40,,
3360,40,,
3361,58,,
3363,32,,
3366,85,,
3367,21,,
3370,64,,
3373,96,S,Cita para entregar documentación.
3374,67,,
3376,75,,
3377,95,S,
3380,66,,
3384,80,,
3386,88,,
3389,50,,
3400,51,,
3405,53,,
3410,38,,
3412,97,S,
3418,43,,
3419,68,,
3420,,N,
3425,44,,
3426,103,S,Cita para entregar documentación.
3430,66,,
3439,63,,
3446,38,,
3447,55,,
3449,68,,
3458,38,,
3461,31,,
3462,69,,
3469,40,,
3477,70,,
3479,,N,
3480,106,S,
3491,,N,
3501,,N,
3504,35,,
3506,69,,
3517,98,S,Cita para entregar documentación.
3518,54,,
3523,25,,
3524,,N,
3525,82,,
3541,81,,
3550,50,,
3558,70,,
3559,34,,
3561,68,,
3565,72,,
3569,,N,
3571,99,S,Cita para entregar documentación.
3575,49,,
3580,60,,
3586,94,,
3601,52,,
3606,36,,
3620,52,,
3622,29,,
3626,78,,
3627,69,,
3632,70,,
3643,35,,
3648,30,,
3650,47,,
3677,32,,
3684,34,,
3687,90,,
3691,87,,
3697,43,,
3704,56,,
3709,72,,
3711,62,,
3718,67,,
3723,44,,
3726,35,,
3728,64,,
3732,28,,
3735,64,,
3736,60,,
3741,80,,
3742,36,,
3743,55,,
3748,35,,
3749,53,,
3751,44,,
3755,100,S,
3764,,N,
3767,,N,
3784,62,,
3788,,N,
3796,49,,
3808,73,,
3811,44,,
3812,,N,
3813,39,,
3815,41,,
3826,,N,
3828,,N,
3829,55,,
3830,44,,
3833,59,,
3858,37,,
3860,89,,
3864,41,,
3869,50,,
3874,43,,
3883,38,,
3891,35,,
3899,32,,
3903,45,,
3908,46,,
3921,106,S,Cita para entregar documentación.
3924,41,,
3925,37,,
3928,48,,
3936,44,,
3939,,N,
3947,55,,
3965,106,S,Cita para entregar documentación.
3979,45,,
3983,101,S,Cita para entregar documentación.
3986,47,,
3990,62,,
3998,,N,
4000,95,S,Cita para entregar documentación.
4009,36,,
4032,61,,
4042,46,,
4045,32,,
4075,53,,
4082,46,,
4086,27,,
4125,35,,
4132,41,,
4149,76,,
4158,,N,
4167,94,,
4171,60,,
4196,48,,
4207,71,,
4217,73,,
4229,37,,
4230,56,,
4231,52,,
4232,71,,
4247,39,,
4249,70,,
4260,82,,
4268,45,,
4275,77,,
4287,41,,
4300,55,,
4323,37,,
4338,83,,
4372,65,,
4374,68,,
4378,37,,
4387,38,,
4395,55,,
4405,43,,
4409,,N,
4417,109,S,Cita para entregar documentación.
4430,,N,
4435,66,,
4445,45,,
4461,32,,
4468,53,,
4469,48,,
4470,42,,
4475,64,,
4476,54,,
4494,64,,
4497,38,,
4500,43,,
4502,77,,
4512,93,,
4517,43,,
4534,70,,
4577,55,,
4581,41,,
4590,37,,
4594,38,,
4596,54,,
4603,42,,
4622,,N,
4626,,N,
4641,50,,
4648,48,,
4650,38,,
4654,46,,
4659,68,,
4692,81,,
4705,45,,
4710,91,,
4719,39,,
4757,105,S,Cita para entregar documentación.
4758,,N,
4766,48,,
4780,93,,
4787,49,,
4792,39,,
4827,81,,
4850,33,,
4852,77,,
4861,54,,
4863,75,,
4867,45,,
4872,46,,
4880,62,,
4882,101,S,
4903,106,S,Cita para entregar documentación.
4907,53,,
4909,90,,
4911,75,,
4918,89,,
4923,77,,
4925,89,,
4929,87,,
4937,60,,
4944,102,S,
4958,57,,
4986,29,,
5015,60,,
5016,70,,
5022,81,,
5023,,N,
5040,60,,
5045,43,,
5063,87,,
5074,36,,
5087,,N,
5094,60,,
5106,48,,
5112,83,,
5139,76,,
5140,46,,
5147,72,,
5170,23,,
5182,56,,
5186,47,,
5192,52,,
5195,75,,
5204,39,,
5205,,N,
5209,108,S,Cita para entregar documentación.
5210,95,S,
5216,47,,
5219,72,,
5226,39,,
5227,76,,
5230,,N,
5231,81,,
5234,,N,
5236,,N,
5242,,N,
5245,64,,
5246,78,,
5247,35,,
5249,75,,
5251,96,S,Cita para entregar documentación.
5252,53,,
5261,34,,
