Número de comprobante,Aciertos,Acreditado,Detalles
4,29,,
13,57,,
14,46,,
17,81,,
21,26,,
22,44,,
40,73,,
43,41,,
47,45,,
48,38,,
49,62,,
69,75,,
74,32,,
100,44,,
104,64,,
105,106,S,
115,45,,
117,79,,
120,,N,
125,61,,
127,105,S,Cita para entregar documentación.
128,46,,
132,77,,
146,,N,
154,53,,
155,34,,
163,70,,
168,52,,
169,42,,
172,56,,
175,,N,
185,38,,
188,48,,
189,74,,
208,65,,
212,102,S,Cita para entregar documentación.
217,,N,
218,47,,
225,73,,
229,38,,
234,74,,
240,96,S,Cita para entregar documentación.
243,,N,
244,78,,
245,35,,
262,54,,
265,70,,
267,27,,
271,,N,
274,,N,
282,45,,
288,33,,
293,42,,
301,78,,
302,,N,
321,37,,
326,58,,
343,,N,
352,82,,
354,82,,
356,70,,
357,56,,
358,100,S,Cita para entregar documentación.
361,45,,
365,32,,
366,35,,
369,44,,
370,,N,
371,94,S,
372,39,,
375,50,,
376,71,,
379,78,,
383,57,,
391,50,,
395,70,,
398,40,,
400,61,,
416,,N,
420,42,,
421,97,S,Cita para entregar documentación.
422,,N,
428,,N,
432,73,,
437,48,,
445,64,,
450,64,,
452,67,,
455,52,,
458,64,,
460,95,S,Cita para entregar documentación.
463,36,,
465,70,,
467,42,,
468,91,S,Cita para entregar documentación.
470,84,,
471,34,,
473,,N,
476,78,,
482,47,,
493,77,,
494,,N,
496,54,,
497,43,,
506,27,,
509,33,,
510,68,,
512,29,,
529,,N,
530,32,,
546,32,,
555,80,,
567,32,,
574,65,,
576,,N,
578,30,,
581,48,,
588,67,,
599,,N,
600,35,,
601,,N,
604,43,,
606,57,,
612,43,,
616,42,,
622,54,,
625,62,,
628,43,,
630,61,,
641,38,,
642,32,,
651,26,,
653,36,,
655,,N,
656,80,,
660,37,,
668,57,,
673,58,,
674,64,,
676,56,,
681,84,,
682,,N,
684,53,,
688,26,,
697,84,,
701,49,,
704,58,,
720,41,,
725,56,,
736,55,,
737,71,,
740,75,,
748,90,S,Cita para entregar documentación.
767,55,,
769,77,,
770,60,,
774,63,,
781,43,,
787,52,,
796,102,S,
803,86,,
805,53,,
811,41,,
812,,N,
818,32,,
821,49,,
835,,N,
837,63,,
838,36,,
846,37,,
847,47,,
850,,N,
851,63,,
873,58,,
875,96,S,
884,46,,
893,28,,
903,93,S,Cita para entregar documentación.
922,72,,
942,90,S,
958,43,,
963,75,,
968,,N,
976,50,,
982,,N,
986,60,,
1003,52,,
1029,42,,
1037,,N,
1038,36,,
1045,47,,
1053,52,,
1064,55,,
1068,84,,
1072,97,S,Cita para entregar documentación.
1116,40,,
1123,54,,
1151,34,,
1152,44,,
1169,40,,
1176,55,,
1186,70,,
1231,58,,
1241,32,,
1259,47,,
1272,66,,
1279,35,,
1290,75,,
1340,47,,
1341,75,,
1349,43,,
1351,64,,
1406,108,S,
1409,68,,
1435,105,S,Cita para entregar documentación.
1441,36,,
1450,52,,
1454,55,,
1456,31,,
1487,62,,
1506,31,,
1507,36,,
1546,,N,
1555,37,,
1567,77,,
1600,46,,
1612,31,,
1613,52,,
1619,55,,
1622,50,,
1663,44,,
1682,63,,
1687,,N,
1702,54,,
1706,,N,
1707,44,,
1708,41,,
1740,70,,
1755,55,,
1798,86,,
1800,76,,
1843,67,,
1850,45,,
1863,40,,
1870,56,,
1871,45,,
1893,41,,
1903,35,,
1904,48,,
1915,24,,
1936,65,,
1963,49,,
1971,52,,
1984,31,,
1995,89,,
1999,32,,
2008,39,,
2018,44,,
2025,42,,
2048,61,,
2064,41,,
2080,68,,
2084,34,,
2085,65,,
2086,34,,
2087,38,,
2096,61,,
2105,50,,
2107,80,,
2110,48,,
2112,59,,
2114,57,,
2116,28,,
2127,94,S,Cita para entregar documentación.
2128,83,,
2133,34,,
2138,70,,
2143,34,,
2144,49,,
2150,33,,
2166,36,,
2169,75,,
2175,44,,
2176,37,,
2178,,N,
2200,42,,
2205,,N,
2211,90,S,Cita para entregar documentación.
2217,39,,
2218,73,,
2230,52,,
2245,55,,
2262,81,,
2263,30,,
2281,97,S,
2282,66,,
2284,106,S,
2288,59,,
2289,99,S,Cita para entregar documentación.
2299,86,,
2301,,N,
2302,108,S,
2303,43,,
2308,88,,
2311,45,,
2318,,N,
2319,44,,
2322,,N,
2323,42,,
2327,46,,
2329,42,,
2330,62,,
2331,98,S,Cita para entregar documentación.
2340,52,,
2341,64,,
2345,35,,
2348,51,,
2350,61,,
2366,54,,
2368,30,,
2387,50,,
2393,47,,
2403,30,,
2413,88,,
2425,,N,
2427,78,,
2428,83,,
2438,68,,
2439,70,,
2440,,N,
2442,,N,
2457,64,,
2477,61,,
2483,59,,
2489,,N,
2491,56,,
2492,49,,
2494,58,,
2505,82,,
2514,48,,
2516,39,,
2517,,N,
2520,,N,
2521,63,,
2524,76,,
2525,71,,
2527,,N,
2532,52,,
2535,,N,
2544,86,,
2562,42,,
2570,45,,
2575,84,,
2580,93,S,
