Número de comprobante,Aciertos,Acreditado,Detalles,Diagnóstico
10810,43,,,
10811,67,,,
10814,41,,,
10821,76,,,
10822,,N,,
10833,60,,,
10835,,N,,
10840,44,,,
10848,63,,,
10853,65,,,
10869,37,,,
10871,,N,,
10873,46,,,
10874,41,,,
10877,62,,,
10881,,N,,
10882,83,,,
10884,38,,,
10889,37,,,
10893,78,,,
10894,52,,,
10901,108,S,,
10911,37,,,
10916,45,,,
10917,48,,,
10919,32,,,
10920,,N,,
10926,34,,,
10928,56,,,
10933,95,,,
10936,,N,,
10939,106,S,,
10941,44,,,
10945,77,,,
10951,91,,,
10952,58,,,
10954,39,,,
10961,36,,,
10964,43,,,
10967,103,S,Cita para entregar documentación.,
10972,86,,,
10975,53,,,
10981,48,,,
10982,65,,,
10983,,N,,
10987,101,S,Cita para entregar documentación.,
10991,46,,,
10992,28,,,
10993,58,,,
10999,,N,,
11000,34,,,
11002,108,S,Cita para entregar documentación.,
11015,58,,,
11020,,N,,
11021,66,,,
11035,32,,,
11037,55,,,
11045,57,,,
11048,33,,,
11051,64,,,
11053,84,,,
11066,41,,,
11068,58,,,
11070,43,,,
11075,43,,,
11086,89,,,
11094,63,,,
11095,41,,,
11101,47,,,
11104,37,,,
11105,,N,,
11106,,N,,
11107,39,,,
11108,103,S,,
11116,61,,,
11122,65,,,
11123,32,,,
11125,37,,,
11134,66,,,
11135,35,,,
11137,33,,,
11138,67,,,
11141,48,,,
11146,48,,,
11151,42,,,
11152,43,,,
11157,,N,,
11160,37,,,
11184,61,,,
11187,72,,,
11189,89,,,
11200,26,,,
11210,45,,,
11214,51,,,
11220,43,,,
11242,33,,,
11244,42,,,
11259,27,,,
11262,98,S,Cita para entregar documentación.,
11267,34,,,
11272,70,,,
11273,47,,,
11280,72,,,
11283,43,,,
11297,38,,,
11302,46,,,
11306,36,,,
11313,68,,,
11322,67,,,
11334,28,,,
11340,24,,,
11346,66,,,
11353,54,,,
11357,33,,,
11368,41,,,
11370,45,,,
11379,83,,,
11382,58,,,
11387,55,,,
11389,42,,,
11394,31,,,
11438,42,,,
11439,46,,,
11442,31,,,
11448,69,,,
11462,41,,,
11480,59,,,
11489,49,,,
11497,42,,,
11498,71,,,
11499,94,,,
11501,53,,,
11503,39,,,
11505,53,,,
11508,,N,,
11514,32,,,
11517,47,,,
11520,43,,,
11522,88,,,
11528,32,,,
11534,55,,,
11540,37,,,
11551,42,,,
11557,48,,,
11577,40,,,
11580,,N,,
11589,45,,,
11599,,N,,
11603,59,,,
11605,60,,,
11613,50,,,
11615,36,,,
11617,65,,,
11632,29,,,
11637,36,,,
11645,64,,,
11655,39,,,
11656,58,,,
11661,47,,,
11663,80,,,
11691,65,,,
11696,40,,,
11699,38,,,
11702,43,,,
11707,35,,,
11710,50,,,
11731,43,,,
11745,41,,,
11751,42,,,
11752,38,,,
11756,70,,,
11757,49,,,
11764,68,,,
11781,56,,,
11783,54,,,
11798,63,,,
11803,66,,,
11815,71,,,
11828,56,,,
11832,66,,,
11838,35,,,
11851,102,S,,
11854,65,,,
11857,65,,,
11862,52,,,
11866,45,,,
11867,43,,,
11876,76,,,
11879,56,,,
11884,58,,,
11890,,N,,
11899,65,,,
11908,89,,,
11910,,N,,
11918,68,,,
11919,43,,,
11922,75,,,
11925,86,,,
11927,109,S,Cita para entregar documentación.,
11929,53,,,
11941,45,,,
11951,68,,,
11955,38,,,
11956,56,,,
11964,33,,,
11966,33,,,
11973,104,S,Cita para entregar documentación.,
11977,74,,,
11980,40,,,
11981,72,,,
11983,104,S,Cita para entregar documentación.,
11985,88,,,
11986,87,,,
11988,87,,,
11995,93,,,
11997,71,,,
11998,85,,,
12002,59,,,
12011,,N,,
12020,36,,,
12021,54,,,
12022,57,,,
12033,97,S,Cita para entregar documentación.,
12036,103,S,Cita para entregar documentación.,
12046,45,,,
12048,38,,,
12053,50,,,
12071,45,,,
12073,35,,,
12083,37,,,
12086,42,,,
12087,41,,,
12092,38,,,
12095,,N,,
12100,52,,,
12101,52,,,
12105,35,,,
12110,,N,,
12122,82,,,
12136,63,,,
12138,43,,,
12141,88,,,
12145,60,,,
12146,80,,,
12154,56,,,
12172,84,,,
12173,46,,,
12175,53,,,
12178,57,,,
12184,99,S,,
12197,,N,,
12202,,N,,
12210,30,,,
12213,36,,,
12217,60,,,
12221,46,,,
12267,45,,,
12269,49,,,
12282,55,,,
12285,44,,,
12286,72,,,
12292,35,,,
12293,83,,,
12296,82,,,
12299,71,,,
12317,74,,,
12323,49,,,
12334,37,,,
12336,98,S,,
12348,103,S,,
12356,36,,,
12363,36,,,
12382,67,,,
12383,49,,,
12385,25,,,
12390,51,,,
12395,68,,,
12396,46,,,
12407,38,,,
12411,54,,,
12414,,N,,
12432,46,,,
12433,70,,,
12437,,N,,
12441,95,,,
12445,72,,,
12456,35,,,
12485,79,,,
12494,47,,,
12504,51,,,
12508,98,S,,
12510,58,,,
12511,50,,,
12512,56,,,
12513,56,,,
12520,40,,,
12532,68,,,
12535,52,,,
12541,41,,,
12546,64,,,
12550,88,,,
12556,44,,,
12561,86,,,
12567,60,,,
12578,52,,,
12579,43,,,
12582,42,,,
12587,38,,,
12593,48,,,
12595,49,,,
12597,45,,,
12603,75,,,
12609,,N,,
12623,44,,,
12624,36,,,
12626,73,,,
12629,80,,,
12633,71,,,
12641,36,,,
12642,46,,,
12643,31,,,
12645,48,,,
12651,67,,,
12653,60,,,
12655,47,,,
12660,60,,,
12663,,N,,
12664,,N,,
12673,92,,,
12684,47,,,
12686,44,,,
12687,46,,,
12691,27,,,
12694,44,,,
12695,60,,,
12699,38,,,
12710,,N,,
12718,40,,,
12720,73,,,
12726,88,,,
12727,57,,,
12729,51,,,
12732,47,,,
12739,92,,,
12742,97,S,Cita para entregar documentación.,
12746,74,,,
12748,94,,,
12750,46,,,
12753,53,,,
12759,35,,,
12768,59,,,
12769,40,,,
12772,59,,,
12775,,N,,
12780,105,S,,
12785,,N,,
12787,61,,,
12790,92,,,
12791,66,,,
12796,73,,,
12797,63,,,
12800,45,,,
12801,82,,,
12805,52,,,
12806,,N,,
12810,49,,,
12813,75,,,
12814,44,,,
12817,32,,,
12820,31,,,
12823,35,,,
12827,39,,,
12832,62,,,
12838,56,,,
12840,48,,,
12847,30,,,
12853,81,,,
12854,52,,,
12856,41,,,
12857,,N,,
12858,44,,,
12871,57,,,
12872,,N,,
12876,41,,,
12878,,N,,
12905,45,,,
12917,103,S,Cita para entregar documentación.,
12924,43,,,
12937,83,,,
12942,33,,,
12945,51,,,
12951,35,,,
12964,32,,,
12968,,N,,
12969,32,,,
12970,44,,,
12984,55,,,
12993,84,,,
13000,74,,,
13003,66,,,
13016,,N,,
13036,67,,,
13041,37,,,
13059,46,,,
13063,48,,,
13064,49,,,
13074,98,S,,
13079,67,,,
13087,42,,,
13092,68,,,
13099,39,,,
13100,35,,,
13104,49,,,
13106,47,,,
13113,75,,,
13116,35,,,
13121,44,,,
13129,51,,,
13154,29,,,
13172,79,,,
13174,89,,,
13187,40,,,
13191,77,,,
13195,59,,,
13205,45,,,
13208,42,,,
13219,54,,,
13228,34,,,
13232,76,,,
13233,55,,,
13252,71,,,
13260,72,,,
13263,53,,,
13275,37,,,
13277,36,,,
13287,54,,,
13328,39,,,
13340,36,,,
13353,67,,,
13362,72,,,
13367,67,,,
13371,35,,,
13390,33,,,
13393,92,,,
13395,,N,,
13415,38,,,
13418,79,,,
13419,76,,,
13437,50,,,
13441,85,,,
13443,83,,,
13453,40,,,
13459,35,,,
13479,71,,,
13502,75,,,
13507,,N,,
13542,35,,,
13543,55,,,
13551,,N,,
13566,70,,,
13593,72,,,
13595,52,,,
13612,101,S,Cita para entregar documentación.,
13613,53,,,
13616,38,,,
13620,34,,,
13624,67,,,
13631,87,,,
13642,40,,,
13644,114,S,Cita para entregar documentación.,
13653,61,,,
13695,47,,,
13697,66,,,
13733,34,,,
13738,61,,,
13740,59,,,
13748,86,,,
13759,25,,,
13766,88,,,
13778,38,,,
13797,49,,,
13798,44,,,
13818,63,,,
13819,72,,,
13822,62,,,
13826,94,,,
13835,49,,,
13843,39,,,
13850,41,,,
13858,56,,,
13874,75,,,
13878,69,,,
13916,55,,,
13917,81,,,
13924,43,,,
13946,112,S,Cita para entregar documentación.,
13948,37,,,
13966,53,,,
13978,64,,,
14023,44,,,
14027,58,,,
14053,52,,,
14054,50,,,
14066,72,,,
14097,59,,,
14098,47,,,
14117,46,,,
14119,,N,,
14168,58,,,
14180,,N,,
14186,63,,,
14192,35,,,
14206,45,,,
14229,63,,,
14231,46,,,
14264,,N,,
14271,51,,,
14278,63,,,
14288,77,,,
14291,97,S,,
14307,51,,,
14319,37,,,
14336,52,,,
14351,,N,,
14375,27,,,
14378,,N,,
14379,,N,,
14385,56,,,
14403,36,,,
14407,,N,,
14412,44,,,
14420,37,,,
14421,47,,,
14427,29,,,
14433,48,,,
14441,79,,,
14443,63,,,
14476,,N,,
14477,45,,,
14486,65,,,
14496,,,Cita para aclarar situación escolar.,
14507,,N,,
14509,58,,,
14512,37,,,
14517,58,,,
14521,34,,,
14524,37,,,
14530,50,,,
14558,43,,,
14570,40,,,
14578,49,,,
14593,45,,,
14612,60,,,
14640,78,,,
14655,26,,,
14656,81,,,
14662,31,,,
14668,42,,,
14673,70,,,
14680,45,,,
14681,,N,,
14697,59,,,
14713,32,,,
14717,49,,,
14735,52,,,
14757,80,,,
14775,40,,,
14789,74,,,
14797,81,,,
14805,39,,,
14833,,N,,
14834,97,S,Cita para entregar documentación.,
14846,80,,,
14853,43,,,
14902,90,,,
14918,78,,,
14929,50,,,
14943,,N,,
14954,49,,,
14956,87,,,
14969,67,,,
14973,,N,,
14978,36,,,
14995,54,,,
15000,,N,,
15045,75,,,
15055,39,,,
15061,30,,,
15068,55,,,
15070,54,,,
15076,53,,,
15091,87,,,
15099,56,,,
15106,64,,,
15125,40,,,
15134,,N,,
15154,29,,,
15163,48,,,
15169,75,,,
15170,44,,,
15180,47,,,
15226,35,,,
15265,52,,,
15301,43,,,
15322,58,,,
15332,66,,,
15353,52,,,
15358,61,,,
15370,,N,,
15384,67,,,
15386,59,,,
15387,83,,,
15391,49,,,
15405,74,,,
15411,43,,,
15443,90,,,
15459,,N,,
15470,57,,,
15479,36,,,
15482,34,,,
15486,35,,,
15496,68,,,
15504,89,,,
15510,50,,,
15521,58,,,
15522,63,,,
15531,51,,,
15535,,N,,
15540,30,,,
15543,58,,,
15548,,N,,
15562,62,,,
15563,42,,,
15577,67,,,
15587,40,,,
15591,36,,,
15606,26,,,
15617,43,,,
15643,31,,,
15648,82,,,
15676,50,,,
15691,23,,,
15714,,N,,
15728,56,,,
15730,33,,,
15731,86,,,
15734,42,,,
15737,50,,,
15746,39,,,
15750,86,,,
15764,96,S,Cita para entregar documentación.,
15774,50,,,
15777,71,,,
15779,43,,,
15786,77,,,
15801,69,,,
15804,,N,,
15810,,N,,
15813,,N,,
15848,36,,,
15872,34,,,
15880,,N,,
15882,86,,,
15883,56,,,
15887,58,,,
15888,41,,,
15889,59,,,
15890,92,,,
15893,33,,,
15899,89,,,
15900,28,,,
15903,88,,,
15908,58,,,
15924,59,,,
15925,30,,,
15929,,N,,
15936,61,,,
15937,30,,,
15940,93,,,
15943,33,,,
15945,64,,,
15950,32,,,
15955,36,,,
15966,53,,,
15969,62,,,
15970,63,,,
15977,93,,,
15979,109,S,Cita para entregar documentación.,
15980,82,,,
15987,95,,,
15992,102,S,,
15995,86,,,
16018,39,,,
16022,,N,,
16025,40,,,
16027,54,,,
16028,38,,,
16043,61,,,
16050,42,,,
16053,,N,,
16054,47,,,
16055,45,,,
16056,106,S,Cita para entregar documentación.,
16058,32,,,
16060,34,,,
16071,56,,,
16077,88,,,
16081,33,,,
16084,59,,,
16085,,N,,
16087,28,,,
16108,53,,,
16114,30,,,
16126,42,,,
16129,40,,,
16131,67,,,
16136,91,,,
16146,,N,,
16150,59,,,
16152,80,,,
16155,83,,,
16160,38,,,
16163,46,,,
16168,47,,,
16184,59,,,
16185,,N,,
16199,70,,,
16201,48,,,
16206,78,,,
16224,34,,,
16230,30,,,
16234,38,,,
16244,52,,,
16256,54,,,
16261,42,,,
16262,76,,,
16267,41,,,
16268,49,,,
16274,95,,,
16281,48,,,
16292,45,,,
16301,,N,,
16316,67,,,
16317,57,,,
16321,59,,,
16327,50,,,
16328,33,,,
16352,33,,,
16360,100,S,,
16382,,N,,
16394,67,,,
16396,54,,,
16401,53,,,
16404,36,,,
16407,42,,,
16408,,N,,
16413,,N,,
16420,45,,,
16430,70,,,
16431,,N,,
16435,29,,,
16440,49,,,
16449,50,,,
16456,57,,,
16459,,N,,
16464,44,,,
16474,,N,,
16477,,N,,
16485,47,,,
16491,,N,,
16494,68,,,
16496,58,,,
16502,24,,,
16521,41,,,
16523,65,,,
16525,57,,,
16526,37,,,
16529,57,,,
16535,61,,,
16563,,N,,
16576,78,,,
16579,,N,,
16592,50,,,
16593,42,,,
16607,45,,,
16609,32,,,
16612,56,,,
16630,,N,,
16636,34,,,
16638,29,,,
16645,53,,,
16650,27,,,
16655,46,,,
16660,82,,,
16668,51,,,
16678,52,,,
16679,42,,,
16695,44,,,
16696,34,,,
16698,53,,,
16728,,N,,
16734,36,,,
16735,35,,,
16738,,N,,
16744,37,,,
16748,57,,,
16751,,N,,
16761,44,,,
16762,,N,,
16770,55,,,
16776,46,,,
16799,40,,,
16801,52,,,
16805,40,,,
16808,49,,,
16810,94,,,
16818,80,,,
16819,31,,,
16830,77,,,
16834,41,,,
16839,48,,,
16842,20,,,
16851,78,,,
16855,50,,,
16871,87,,,
16886,48,,,
16890,62,,,
16898,39,,,
16904,49,,,
16906,81,,,
16909,71,,,
16918,38,,,
16919,52,,,
16932,43,,,
16939,57,,,
16940,48,,,
16948,66,,,
16975,50,,,
17005,95,,,
17016,80,,,
17017,79,,,
17025,95,,,
17032,38,,,
17044,39,,,
17050,,N,,
17056,105,S,,
17058,36,,,
17082,96,S,Cita para entregar documentación.,
17091,51,,,
17096,46,,,
17104,77,,,
17113,43,,,
17126,54,,,
17151,70,,,
17158,53,,,
17174,43,,,
17181,50,,,
17183,35,,,
17189,76,,,
17200,37,,,
17206,30,,,
17207,43,,,
17208,38,,,
17218,55,,,
17252,58,,,
17255,38,,,
17263,65,,,
17279,84,,,
17283,48,,,
17289,30,,,
17294,53,,,
17305,79,,,
17310,56,,,
17333,54,,,
17356,49,,,
17367,86,,,
17381,53,,,
17394,54,,,
17404,51,,,
17413,53,,,
17415,38,,,
17421,63,,,
17428,48,,,
17450,40,,,
17482,,N,,
17485,49,,,
17496,56,,,
17506,49,,,
17514,,N,,
17519,88,,,
17557,45,,,
17565,36,,,
17603,34,,,
17610,66,,,
17611,,N,,
17616,50,,,
17618,59,,,
17624,42,,,
17628,62,,,
17646,67,,,
17655,,N,,
17660,82,,,
17665,29,,,
17688,46,,,
17711,42,,,
17715,41,,,
17727,47,,,
17730,58,,,
17737,83,,,
17750,43,,,
17751,93,,,
17752,32,,,
17765,40,,,
17766,47,,,
17773,76,,,
17778,,N,,
17783,92,,,
17784,,N,,
17797,57,,,
17798,38,,,
17805,47,,,
17810,77,,,
17812,,N,,
17813,32,,,
17814,80,,,
17820,41,,,
17822,40,,,
17823,40,,,
17826,32,,,
17829,54,,,
17837,40,,,
17839,43,,,
17844,63,,,
17845,50,,,
17847,45,,,
17851,,N,,
17853,,N,,
17859,93,,,
17862,26,,,
17868,42,,,
17869,45,,,
17873,36,,,
17876,38,,,
17877,81,,,
17879,61,,,
17883,41,,,
17884,100,S,,
17885,42,,,
17894,,N,,
17897,56,,,
17916,,N,,
17917,44,,,
17918,55,,,
17919,60,,,
17920,,N,,
17945,,N,,
17951,45,,,
17952,92,,,
17979,72,,,
17982,42,,,
17996,59,,,
17997,39,,,
18015,49,,,
18016,27,,,
18018,44,,,
18020,55,,,
18051,36,,,
18059,34,,,
18060,45,,,
18061,26,,,
18063,50,,,
18065,73,,,
18076,28,,,
18079,38,,,
18087,42,,,
18108,77,,,
18111,,N,,
18114,45,,,
18132,23,,,
18147,53,,,
18149,47,,,
18153,,N,,
18154,50,,,
18156,40,,,
18162,45,,,
18164,,N,,
18222,94,,,
18224,49,,,
18231,40,,,
18239,41,,,
18240,34,,,
18254,53,,,
18259,49,,,
18265,43,,,
18267,76,,,
18268,43,,,
18278,67,,,
18281,95,,,
18302,47,,,
18314,32,,,
18318,,N,,
18326,58,,,
18336,58,,,
18348,118,S,Cita para entregar documentación.,
18354,48,,,
18355,48,,,
18356,27,,,
18399,68,,,
18404,56,,,
18414,100,S,,
18431,58,,,
18449,55,,,
18463,59,,,
18466,79,,,
18470,86,,,
18476,64,,,
18477,46,,,
18483,37,,,
18492,44,,,
18502,33,,,
18511,44,,,
18545,71,,,
18566,51,,,
18570,65,,,
18586,44,,,
18593,56,,,
18621,42,,,
18624,79,,,
18625,71,,,
18627,51,,,
18645,43,,,
18656,51,,,
18660,53,,,
18669,36,,,
18672,27,,,
18679,37,,,
18689,105,S,Cita para entregar documentación.,
18693,67,,,
18710,63,,,
18711,30,,,
18712,,N,,
18714,52,,,
18715,78,,,
18717,77,,,
18718,59,,,
18721,43,,,
18725,55,,,
18735,60,,,
18754,55,,,
18812,41,,,
18814,42,,,
18815,38,,,
18825,56,,,
18838,41,,,
18843,,N,,
18855,37,,,
18865,68,,,
18868,,N,,
18870,40,,,
18871,111,S,,
18879,35,,,
18882,,N,,
18883,85,,,
18888,59,,,
18921,70,,,
18948,58,,,
18958,39,,,
18961,,,Cita para aclarar situación escolar.,
18967,35,,,
18989,42,,,
18991,65,,,
18998,48,,,
19014,51,,,
19042,42,,,
19065,45,,,
19081,58,,,
19100,105,S,,
19102,45,,,
19104,85,,,
19129,38,,,
19135,,N,,
19159,55,,,
19173,45,,,
19178,58,,,
19188,71,,,
19221,50,,,
19232,41,,,
19233,,N,,
19245,48,,,
19254,82,,,
19259,55,,,
19261,58,,,
19262,49,,,
19264,71,,,
19265,58,,,
19273,46,,,
19301,62,,,
19307,40,,,
19312,,N,,
19321,35,,,
19322,44,,,
19340,37,,,
19365,60,,,
19369,60,,,
19374,48,,,
19380,45,,,
19408,56,,,
19419,70,,,
19422,68,,,
19443,38,,,
19472,46,,,
19473,45,,,
19482,,N,,
19536,,N,,
19563,38,,,
19571,43,,,
19573,48,,,
19580,79,,,
19590,46,,,
19595,30,,,
19629,38,,,
19631,80,,,
19635,50,,,
19648,,N,,
19649,79,,,
19681,37,,,
19685,48,,,
19709,42,,,
19781,31,,,
19788,103,S,Cita para entregar documentación.,
19797,37,,,
19798,65,,,
19818,46,,,
19820,53,,,
19825,38,,,
19834,62,,,
19849,46,,,
19850,48,,,
19865,37,,,
19896,,N,,
19914,,N,,
19939,35,,,
19954,53,,,
19969,64,,,
19973,22,,,
19985,37,,,
20026,51,,,
20052,80,,,
20064,60,,,
20125,49,,,
20160,95,,,
20169,59,,,
20174,53,,,
20179,53,,,
20181,37,,,
20197,31,,,
20206,98,S,,
20214,66,,,
20219,35,,,
20234,34,,,
20241,,N,,
20248,44,,,
20266,52,,,
20303,50,,,
20322,48,,,
20371,59,,,
20377,70,,,
20380,56,,,
20383,75,,,
20402,40,,,
20414,40,,,
20422,48,,,
20441,33,,,
20447,55,,,
20459,65,,,
20462,51,,,
20486,66,,,
20498,52,,,
20499,81,,,
20508,33,,,
20509,58,,,
20515,56,,,
20520,,N,,
20543,50,,,
20544,59,,,
20562,44,,,
20566,99,S,Cita para entregar documentación.,
20588,46,,,
20593,37,,,
20606,95,,,
20615,45,,,
20632,92,,,
20639,34,,,
20669,90,,,
20670,41,,,
20684,35,,,
20708,,N,,
20715,53,,,
20716,60,,,
20728,49,,,
20729,25,,,
20734,34,,,
20735,38,,,
20740,95,,,
20745,43,,,
20748,,N,,
20754,45,,,
20758,30,,,
20765,43,,,
20773,88,,,
20774,42,,,
20782,61,,,
20783,60,,,
20789,51,,,
20792,53,,,
20794,35,,,
20802,99,S,,
20805,61,,,
20812,44,,,
20813,101,S,,
20821,47,,,
20824,52,,,
20825,99,S,Cita para entregar documentación.,
20826,,N,,
20829,,N,,
20831,33,,,
20834,33,,,
20838,62,,,
20841,,N,,
20846,,N,,
20849,48,,,
20854,48,,,
20855,63,,,
20867,46,,,
20870,42,,,
20874,43,,,
20881,81,,,
20883,35,,,
20884,53,,,
20885,44,,,
20891,49,,,
20893,77,,,
20894,24,,,
20897,41,,,
20899,37,,,
20905,43,,,
20909,46,,,
20910,49,,,
20919,47,,,
20921,36,,,
20924,43,,,
20927,52,,,
20933,32,,,
20945,66,,,
20946,63,,,
20949,31,,,
20955,92,,,
20957,51,,,
20959,34,,,
20961,65,,,
20967,46,,,
20972,29,,,
20976,59,,,
20978,64,,,
20981,56,,,
20982,70,,,
20992,72,,,
20994,34,,,
21001,74,,,
21004,108,S,,
21005,75,,,
21006,,N,,
21009,,N,,
21013,68,,,
21015,54,,,
21018,38,,,
21026,69,,,
21029,48,,,
21032,85,,,
21034,38,,,
21036,39,,,
21039,35,,,
21040,57,,,
21045,30,,,
21050,51,,,
21051,,N,,
21052,109,S,Cita para entregar documentación.,
21059,60,,,
21061,30,,,
21063,106,S,Cita para entregar documentación.,
21069,52,,,
21072,43,,,
21076,61,,,
21077,79,,,
21081,41,,,
21085,70,,,
21092,,N,,
21096,86,,,
21101,56,,,
21109,98,S,Cita para entregar documentación.,
21119,65,,,
21121,89,,,
21132,93,,,
21135,66,,,
21138,83,,,
21143,51,,,
21145,31,,,
21151,62,,,
21156,64,,,
21158,45,,,
21160,34,,,
21163,53,,,
21164,,N,,
21175,44,,,
21180,27,,,
21187,,N,,
21190,87,,,
21192,67,,,
21193,107,S,Cita para entregar documentación.,
21194,28,,,
21196,56,,,
21209,44,,,
21214,37,,,
21219,37,,,
21220,30,,,
21221,97,S,Cita para entregar documentación.,
21227,87,,,
21233,50,,,
21234,73,,,
21236,,N,,
21237,79,,,
21247,36,,,
21250,53,,,
21252,75,,,
21253,102,S,,
21255,75,,,
21263,55,,,
21274,37,,,
21275,77,,,
21277,,N,,
21280,83,,,
21287,46,,,
21290,79,,,
21291,43,,,
21292,40,,,
21312,,N,,
21315,,N,,
21336,53,,,
21345,62,,,
21346,27,,,
21350,39,,,
21353,54,,,
21356,50,,,
21376,96,S,,
21381,30,,,
21383,42,,,
21385,95,,,
21389,,N,,
21393,96,S,,
21398,62,,,
21399,67,,,
21401,49,,,
21403,38,,,
21404,71,,,
21405,,N,,
21408,48,,,
21413,41,,,
21414,69,,,
21417,50,,,
21422,41,,,
21424,41,,,
21425,91,,,
21427,49,,,
21431,44,,,
21432,47,,,
21433,44,,,
21436,82,,,
21439,27,,,
21440,64,,,
21444,56,,,
21447,57,,,
21448,73,,,
21451,77,,,
21454,49,,,
21455,46,,,
21462,67,,,
21463,62,,,
21464,92,,,
21466,43,,,
21467,45,,,
21471,44,,,
21472,32,,,
21474,69,,,
21476,43,,,
21485,40,,,
21486,37,,,
21499,,N,,
21503,54,,,
21504,97,S,,
21506,63,,,
21507,50,,,
21510,49,,,
21513,81,,,
21515,71,,,
21519,55,,,
21522,,N,,
21523,45,,,
21525,58,,,
21526,90,,,
21527,63,,,
21532,45,,,
21538,62,,,
21547,69,,,
21549,51,,,
21552,40,,,
21554,31,,,
21559,53,,,
21565,49,,,
21567,51,,,
21572,99,S,Cita para entregar documentación.,
21574,42,,,
21575,35,,,
21578,54,,,
21579,107,S,,
21582,,N,,
21584,58,,,
21587,44,,,
21588,,N,,
21591,82,,,
21594,72,,,
21596,,N,,
21608,45,,,
21609,69,,,
21617,98,S,,
21618,39,,,
21620,,N,,
21625,41,,,
21631,55,,,
21644,58,,,
21646,35,,,
21647,44,,,
21649,51,,,
21656,55,,,
21658,54,,,
21667,66,,,
21670,47,,,
21673,53,,,
21679,26,,,
21688,63,,,
21689,43,,,
21695,56,,,
21710,,N,,
21711,49,,,
21715,39,,,
21717,64,,,
21718,77,,,
21721,69,,,
21724,54,,,
21725,108,S,,
21726,,N,,
21738,49,,,
21743,46,,,
21748,,N,,
21752,,N,,
21753,,N,,
21755,52,,,
21757,47,,,
21763,55,,,
21764,31,,,
21770,73,,,
21774,53,,,
21779,55,,,
21780,,N,,
21796,59,,,
21797,78,,,
21801,66,,,
21802,85,,,
21809,42,,,
21814,34,,,
21821,57,,,
21825,89,,,
21829,48,,,
21831,87,,,
21832,,N,,
21833,39,,,
21836,78,,,
21841,39,,,
21842,70,,,
21844,78,,,
21845,66,,,
21849,42,,,
21851,82,,,
21856,44,,,
21857,73,,,
21878,64,,,
21879,69,,,
21885,79,,,
21891,52,,,
21894,37,,,
21896,29,,,
21898,,N,,
21905,35,,,
21915,109,S,,
21922,69,,,
21924,63,,,
21930,,N,,
21935,87,,,
21941,41,,,
21944,48,,,
21947,61,,,
21948,110,S,Cita para entregar documentación.,
21949,49,,,
21953,67,,,
21956,54,,,
21962,77,,,
21966,65,,,
21977,,N,,
21978,59,,,
21980,53,,,
21981,39,,,
21985,58,,,
21987,68,,,
21991,62,,,
22007,75,,,
22014,53,,,
22015,49,,,
22018,43,,,
22022,43,,,
22029,48,,,
22031,87,,,
22032,38,,,
22033,59,,,
22047,69,,,
22049,85,,,
22051,86,,,
22054,53,,,
22056,37,,,
22059,49,,,
22061,70,,,
22064,,N,,
22067,,N,,
22072,46,,,
22076,43,,,
22077,50,,,
22085,54,,,
22097,58,,,
22098,57,,,
22099,70,,,
22104,49,,,
22107,55,,,
22111,94,,,
22115,,N,,
22116,40,,,
22119,36,,,
22120,30,,,
22123,105,S,Cita para entregar documentación.,
22134,96,S,,
22137,45,,,
22138,31,,,
22142,,N,,
22148,53,,,
22152,68,,,
22155,44,,,
22156,53,,,
22158,39,,,
22160,41,,,
22161,40,,,
22162,39,,,
22163,67,,,
22170,68,,,
22174,42,,,
22175,44,,,
22186,43,,,
22187,54,,,
22195,24,,,
22214,60,,,
22247,81,,,
22286,42,,,
22302,,N,,
22305,57,,,
22378,,N,,
22412,56,,,
22420,81,,,
22437,65,,,
22438,75,,,
22442,40,,,
22450,,N,,
22461,47,,,
22485,41,,,
22510,44,,,
22515,51,,,
22516,47,,,
22537,34,,,
22539,,N,,
22547,39,,,
22584,92,,,
22586,60,,,
22588,62,,,
22594,41,,,
22612,42,,,
22613,68,,,
22620,37,,,
22622,41,,,
22634,61,,,
22643,56,,,
22644,58,,,
22648,45,,,
22657,40,,,
22676,103,S,,
22678,51,,,
22692,55,,,
22696,34,,,
22699,33,,,
22704,45,,,
22712,42,,,
22714,,N,,
22717,36,,,
22718,42,,,
22735,42,,,
22767,48,,,
22768,45,,,
22784,47,,,
22792,56,,,
22798,85,,,
22800,35,,,
22811,62,,,
22815,77,,,
22818,31,,,
22843,72,,,
22849,69,,,
22858,81,,,
22879,29,,,
22882,46,,,
22883,67,,,
22890,46,,,
22908,49,,,
22921,,N,,
22923,44,,,
22928,31,,,
22938,75,,,
22957,27,,,
22962,105,S,,
22968,31,,,
22981,97,S,Cita para entregar documentación.,
22986,77,,,
22996,86,,,
23014,42,,,
23022,54,,,
23025,53,,,
23026,45,,,
23040,74,,,
23043,29,,,
23063,,N,,
23113,49,,,
23141,33,,,
23142,83,,,
23144,44,,,
23145,38,,,
23158,44,,,
23159,32,,,
23171,58,,,
23201,34,,,
23208,83,,,
23222,65,,,
23226,45,,,
23248,47,,,
23256,51,,,
23270,47,,,
23274,52,,,
23296,44,,,
23309,59,,,
23312,,N,,
23324,,N,,
23358,,N,,
23366,82,,,
23379,79,,,
23381,61,,,
23400,90,,,
23412,30,,,
23424,36,,,
23439,28,,,
23443,88,,,
23450,78,,,
23467,57,,,
23489,68,,,
23494,27,,,
23506,82,,,
23513,58,,,
23517,37,,,
