Número de comprobante,Aciertos,Acreditado,Detalles,Diagnóstico
2858,68,,,
2859,40,,,
2868,35,,,
2871,36,,,
2879,29,,,
2881,40,,,
2897,39,,,
2903,48,,,
2907,55,,,
2909,48,,,
2922,68,,,
2927,45,,,
2937,75,,,
2947,99,S,Cita para entregar documentación.,
2948,95,,,
2951,55,,,
2967,45,,,
2969,31,,,
2974,78,,,
2981,,N,,
2984,39,,,
2988,43,,,
2992,40,,,
3003,66,,,
3008,84,,,
3009,57,,,
3011,41,,,
3012,78,,,
3015,,N,,
3020,97,S,Cita para entregar documentación.,
3022,74,,,
3026,73,,,
3033,29,,,
3034,105,S,Cita para entregar documentación.,
3035,34,,,
3045,40,,,
3061,37,,,
3064,49,,,
3065,33,,,
3067,67,,,
3071,46,,,
3085,54,,,
3091,81,,,
3098,60,,,
3107,48,,,
3118,,N,,
3124,46,,,
3129,65,,,
3130,47,,,
3131,,N,,
3145,28,,,
3147,53,,,
3156,77,,,
3162,71,,,
3167,27,,,
3170,70,,,
3176,96,S,Cita para entregar documentación.,
3177,50,,,
3182,69,,,
3202,43,,,
3205,38,,,
3216,,N,,
3218,104,S,Cita para entregar documentación.,
3223,40,,,
3233,60,,,
3234,42,,,
3236,43,,,
3237,30,,,
3238,51,,,
3240,52,,,
3244,33,,,
3255,57,,,
3261,37,,,
3262,34,,,
3285,43,,,
3297,28,,,
3301,91,,,
3303,37,,,
3345,27,,,
3346,43,,,
3347,39,,,
3361,82,,,
3379,72,,,
3380,42,,,
3391,75,,,
3403,,N,,
3406,35,,,
3407,91,,,
3408,61,,,
3412,64,,,
3415,,N,,
3417,100,S,,
3427,106,S,,
3431,39,,,
3440,,N,,
3481,21,,,
3484,106,S,,
3520,26,,,
3548,70,,,
3566,,N,,
3599,,N,,
3603,48,,,
3609,55,,,
3610,36,,,
3614,,N,,
3615,53,,,
3621,35,,,
3624,54,,,
3628,74,,,
3635,52,,,
3657,57,,,
3659,,N,,
3663,81,,,
3665,100,S,,
3678,53,,,
3683,53,,,
3684,,N,,
3695,37,,,
3696,35,,,
3701,68,,,
3731,28,,,
3739,52,,,
3767,31,,,
3774,62,,,
3796,51,,,
3818,61,,,
3834,47,,,
3882,31,,,
3891,40,,,
3930,36,,,
3938,48,,,
3942,36,,,
3947,42,,,
3948,62,,,
3959,44,,,
3960,42,,,
3962,81,,,
3963,58,,,
3966,43,,,
3969,42,,,
3974,83,,,
3978,,N,,
3980,46,,,
3983,105,S,,
3984,102,S,Cita para entregar documentación.,
3985,45,,,
3988,53,,,
3989,37,,,
3997,42,,,
4000,55,,,
4015,110,S,,
4017,68,,,
4021,77,,,
4036,80,,,
4038,,N,,
4043,89,,,
4045,40,,,
4049,37,,,
4050,,N,,
4052,103,S,,
4053,79,,,
4061,99,S,,
4062,38,,,
4063,34,,,
4066,70,,,
4069,,N,,
4072,,N,,
4074,38,,,
4075,57,,,
4076,55,,,
4079,93,,,
4085,49,,,
4087,36,,,
4088,56,,,
4091,70,,,
4092,66,,,
4098,60,,,
4099,58,,,
4103,81,,,
4104,,N,,
4105,33,,,
4110,70,,,
4116,69,,,
4117,50,,,
4144,94,,,
4146,42,,,
4148,96,S,Cita para entregar documentación.,
4149,73,,,
4151,75,,,
4153,78,,,
4155,,N,,
4158,58,,,
4159,107,S,,
4160,83,,,
4161,47,,,
4163,25,,,
4164,54,,,
4166,36,,,
4178,82,,,
4186,50,,,
4187,52,,,
4189,41,,,
4190,42,,,
4217,33,,,
4227,,N,,
4228,40,,,
4232,57,,,
4234,96,S,Cita para entregar documentación.,
4236,78,,,
4238,85,,,
4239,90,,,
4248,73,,,
4252,35,,,
4258,74,,,
4269,102,S,,
4276,49,,,
4286,37,,,
4288,42,,,
4292,107,S,,
4294,80,,,
4295,31,,,
4302,48,,,
4304,38,,,
4305,,N,,
4320,72,,,
4326,79,,,
4332,28,,,
4344,91,,,
4360,45,,,
4364,34,,,
4370,41,,,
4371,84,,,
4373,47,,,
4374,103,S,Cita para entregar documentación.,
4375,40,,,
4379,44,,,
4380,39,,,
4385,91,,,
4387,,N,,
4390,91,,,
4391,48,,,
4398,108,S,Cita para entregar documentación.,
4414,42,,,
4418,50,,,
4421,66,,,
4427,,N,,
4430,103,S,Cita para entregar documentación.,
4432,76,,,
4435,46,,,
4437,91,,,
4440,77,,,
4446,40,,,
4447,,N,,
4451,42,,,
4453,31,,,
4456,,N,,
4470,62,,,
4471,,N,,
4472,,N,,
4476,70,,,
4479,106,S,Cita para entregar documentación.,
4481,52,,,
4485,98,S,,
4496,50,,,
4504,78,,,
4518,58,,,
4519,47,,,
4520,,N,,
4522,92,,,
4530,65,,,
4539,42,,,
4557,36,,,
4569,,N,,
4585,107,S,Cita para entregar documentación.,
4591,,N,,
4607,47,,,
4612,57,,,
4615,44,,,
4619,40,,,
4629,62,,,
4642,89,,,
4651,38,,,
4654,84,,,
4669,23,,,
4673,39,,,
4677,59,,,
4683,89,,,
4690,93,,,
4693,54,,,
4717,35,,,
4718,85,,,
4742,,N,,
4759,57,,,
4765,80,,,
4777,,N,,
4778,43,,,
4785,,N,,
4796,37,,,
4810,91,,,
4816,,N,,
4822,,N,,
4825,,N,,
4826,81,,,
4829,71,,,
4861,41,,,
4874,94,,,
4888,38,,,
4895,34,,,
4903,55,,,
4923,76,,,
4925,35,,,
4947,58,,,
4962,64,,,
4965,85,,,
4966,46,,,
4968,92,,,
4987,49,,,
5027,53,,,
5028,78,,,
5030,,,Cita para aclarar situación escolar.,
5072,62,,,
5092,,N,,
5096,37,,,
5099,90,,,
5106,94,,,
5107,59,,,
5108,47,,,
5128,56,,,
5131,60,,,
5154,65,,,
5169,42,,,
5176,64,,,
5185,,N,,
5197,66,,,
5202,50,,,
5205,37,,,
5207,112,S,Cita para entregar documentación.,
5245,98,S,,
5255,31,,,
5289,61,,,
5296,32,,,
5302,62,,,
5345,,N,,
5356,60,,,
5358,114,S,Cita para entregar documentación.,
5360,54,,,
5366,72,,,
5371,50,,,
5372,,,Cita para aclarar situación escolar.,
5373,,N,,
5374,81,,,
5375,,N,,
5377,38,,,
5379,42,,,
5384,32,,,
5385,58,,,
5395,40,,,
5397,101,S,Cita para entregar documentación.,
5404,75,,,
5410,,N,,
5413,112,S,Cita para entregar documentación.,
5414,45,,,
5418,92,,,
5424,87,,,
5427,,N,,
5428,40,,,
5429,,N,,
5434,76,,,
5438,84,,,
5441,,N,,
5444,30,,,
5446,57,,,
5457,87,,,
5458,,N,,
5460,49,,,
5462,74,,,
5468,104,S,Cita para entregar documentación.,
5471,33,,,
5472,105,S,,
5477,48,,,
5482,43,,,
5493,33,,,
5494,43,,,
5495,42,,,
5498,59,,,
5516,,N,,
5517,45,,,
5518,35,,,
5526,69,,,
5532,47,,,
5537,40,,,
5538,26,,,
5540,46,,,
5542,97,S,Cita para entregar documentación.,
5545,28,,,
5546,62,,,
5550,40,,,
5552,71,,,
5557,,N,,
5558,74,,,
5561,74,,,
5564,53,,,
5565,,N,,
5566,46,,,
5567,59,,,
5574,69,,,
5575,,N,,
5581,98,S,Cita para entregar documentación.,
5582,48,,,
5583,93,,,
5585,58,,,
5591,54,,,
5593,31,,,
5600,104,S,,
5602,80,,,
5605,48,,,
5607,51,,,
5608,64,,,
5609,59,,,
5611,60,,,
5615,100,S,,
5619,42,,,
5624,46,,,
5625,24,,,
5635,47,,,
5636,36,,,
5639,104,S,Cita para entregar documentación.,
5642,58,,,
5643,81,,,
5644,52,,,
5645,106,S,Cita para entregar documentación.,
5647,40,,,
5649,32,,,
5654,101,S,Cita para entregar documentación.,
5655,48,,,
5656,62,,,
5663,98,S,,
5664,46,,,
5667,54,,,
5671,100,S,Cita para entregar documentación.,
5675,70,,,
5688,109,S,,
5696,39,,,
5697,58,,,
5698,43,,,
5700,75,,,
5703,46,,,
5708,62,,,
5710,,N,,
5717,33,,,
5720,34,,,
5723,71,,,
5724,36,,,
5726,43,,,
5728,89,,,
5730,92,,,
5731,73,,,
5732,59,,,
5733,94,,,
5739,65,,,
5744,65,,,
5751,102,S,Cita para entregar documentación.,
5754,83,,,
5757,84,,,
5768,62,,,
5784,66,,,
5787,56,,,
5792,96,S,Cita para entregar documentación.,
5795,,N,,
5798,93,,,
5800,38,,,
5801,51,,,
5807,,N,,
5808,41,,,
5809,,N,,
5810,47,,,
5829,47,,,
5830,,N,,
5843,67,,,
5846,62,,,
5867,,N,,
5874,40,,,
5876,39,,,
5877,35,,,
5884,57,,,
5886,85,,,
5888,72,,,
5892,,N,,
5905,54,,,
5906,83,,,
5916,40,,,
5922,99,S,,
5924,50,,,
5936,110,S,Cita para entregar documentación.,
5937,,N,,
5939,57,,,
5944,49,,,
5946,56,,,
5947,44,,,
5951,64,,,
5960,70,,,
5962,,N,,
5963,56,,,
5970,76,,,
5973,36,,,
5974,,N,,
5978,79,,,
5979,58,,,
5992,104,S,,
5996,66,,,
6026,81,,,
6028,48,,,
6031,,N,,
6036,85,,,
6039,,N,,
6043,57,,,
6048,41,,,
6049,48,,,
6052,51,,,
6055,36,,,
6074,,N,,
6076,41,,,
6084,52,,,
6091,86,,,
6096,96,S,Cita para entregar documentación.,
6105,31,,,
6118,61,,,
6123,45,,,
6124,,N,,
6138,50,,,
6154,34,,,
6155,56,,,
6164,86,,,
6170,41,,,
6173,,N,,
6177,35,,,
6200,73,,,
6205,35,,,
6214,47,,,
6224,100,S,,
6230,38,,,
6244,49,,,
6247,38,,,
6251,39,,,
6253,66,,,
6259,48,,,
6276,48,,,
6277,,N,,
6283,53,,,
6289,28,,,
6291,29,,,
6308,85,,,
6314,41,,,
6317,70,,,
6326,39,,,
6340,54,,,
6354,61,,,
6357,84,,,
6370,63,,,
6389,42,,,
6394,97,S,Cita para entregar documentación.,
6398,47,,,
6400,66,,,
6422,107,S,,
6430,,N,,
6443,37,,,
6456,36,,,
6478,64,,,
6482,88,,,
6485,59,,,
6490,111,S,Cita para entregar documentación.,
6503,42,,,
6519,63,,,
6536,37,,,
6545,22,,,
6564,77,,,
6577,112,S,,
6580,39,,,
6582,,N,,
6586,47,,,
6590,73,,,
6593,90,,,
6600,63,,,
6601,47,,,
6604,42,,,
6614,41,,,
6624,72,,,
6629,45,,,
6634,41,,,
6635,,N,,
6642,57,,,
6649,58,,,
6653,45,,,
6657,32,,,
6659,60,,,
6660,65,,,
6662,96,S,,
6668,37,,,
6671,97,S,,
6674,32,,,
6675,73,,,
6676,36,,,
6678,58,,,
6680,63,,,
6686,57,,,
6689,44,,,
6693,106,S,,
6694,37,,,
6701,45,,,
6706,65,,,
6710,105,S,,
6712,48,,,
6718,,,Cita para aclarar situación escolar.,
6720,41,,,
6723,39,,,
6724,39,,,
6725,55,,,
6726,68,,,
6728,66,,,
6731,94,,,
6734,35,,,
6735,96,S,Cita para entregar documentación.,
6738,,N,,
6740,,N,,
6744,51,,,
6747,89,,,
6749,69,,,
6755,47,,,
6756,,N,,
6758,37,,,
6762,51,,,
6769,50,,,
6776,37,,,
6786,55,,,
6796,115,S,Cita para entregar documentación.,
6799,42,,,
6806,77,,,
6807,71,,,
6810,48,,,
6812,,N,,
6832,107,S,Cita para entregar documentación.,
6837,51,,,
6838,43,,,
6839,98,S,,
6840,46,,,
6847,54,,,
6853,58,,,
6857,,N,,
6859,50,,,
6860,59,,,
6870,49,,,
6876,86,,,
6878,70,,,
6887,,N,,
6892,,N,,
6907,,N,,
6909,59,,,
6913,56,,,
6921,85,,,
6925,29,,,
6935,28,,,
6938,41,,,
6940,34,,,
6942,71,,,
6948,50,,,
6949,74,,,
6953,86,,,
6961,43,,,
6962,49,,,
6963,64,,,
6974,99,S,,
6984,55,,,
6997,42,,,
7005,66,,,
7014,73,,,
7017,37,,,
7020,58,,,
7027,,N,,
7029,64,,,
7030,43,,,
7035,,N,,
7037,61,,,
7041,32,,,
7057,81,,,
7063,52,,,
7079,35,,,
7081,45,,,
7083,57,,,
7084,59,,,
7088,50,,,
7090,42,,,
7092,114,S,,
7094,46,,,
7099,68,,,
7100,33,,,
7107,,,Cita para aclarar situación escolar.,
7108,49,,,
7110,43,,,
7111,71,,,
7113,46,,,
7115,53,,,
7117,,N,,
7118,54,,,
7131,45,,,
7135,92,,,
7141,69,,,
7142,47,,,
7144,81,,,
7146,41,,,
7148,47,,,
7150,,N,,
7154,56,,,
7155,53,,,
7157,44,,,
7164,62,,,
7169,70,,,
7171,101,S,,
7176,41,,,
7177,36,,,
7178,,N,,
7181,48,,,
7182,,N,,
7183,59,,,
7184,62,,,
7185,34,,,
7193,62,,,
7195,63,,,
7197,,N,,
7198,43,,,
7203,,N,,
7238,53,,,
7242,34,,,
7258,39,,,
7276,39,,,
7284,59,,,
7288,37,,,
7296,44,,,
7297,76,,,
7325,44,,,
7327,46,,,
7335,53,,,
7349,,N,,
7357,73,,,
7363,35,,,
7370,46,,,
7382,60,,,
7397,64,,,
7417,41,,,
7426,86,,,
7431,81,,,
7439,33,,,
7447,86,,,
7476,95,,,
7480,49,,,
7497,94,,,
7515,41,,,
7520,,N,,
7522,56,,,
7523,63,,,
7566,53,,,
7570,82,,,
7587,30,,,
7595,72,,,
7604,41,,,
7612,103,S,Cita para entregar documentación.,
7616,29,,,
7623,67,,,
7636,87,,,
7638,51,,,
7639,104,S,Cita para entregar documentación.,
7640,,N,,
7643,47,,,
7646,37,,,
7662,88,,,
7667,34,,,
7670,45,,,
7671,47,,,
7715,77,,,
7737,99,S,Cita para entregar documentación.,
7738,69,,,
7778,,N,,
7802,36,,,
7820,35,,,
7823,37,,,
7827,41,,,
7834,31,,,
7839,46,,,
7883,49,,,
7889,40,,,
7895,41,,,
7897,,N,,
7909,62,,,
7911,44,,,
7918,36,,,
7927,95,,,
7929,44,,,
7966,35,,,
7972,47,,,
7979,34,,,
7982,40,,,
7997,39,,,
8018,45,,,
8050,75,,,
8068,56,,,
8071,72,,,
8083,109,S,,
8096,47,,,
8100,,N,,
8107,44,,,
8122,82,,,
8123,43,,,
8176,34,,,
8180,86,,,
8194,,N,,
8219,59,,,
8232,,N,,
8233,36,,,
8247,46,,,
8255,45,,,
8261,51,,,
8270,36,,,
8275,34,,,
8286,,N,,
8292,53,,,
8296,33,,,
8297,88,,,
8299,28,,,
8304,,N,,
8310,50,,,
8315,,N,,
8316,70,,,
8326,41,,,
8334,38,,,
8345,,N,,
8346,41,,,
8356,32,,,
8358,55,,,
8361,100,S,Cita para entregar documentación.,
8364,100,S,,
8368,39,,,
8371,60,,,
8379,42,,,
8386,46,,,
8388,46,,,
8408,72,,,
8423,34,,,
8424,30,,,
8426,66,,,
8461,78,,,
8474,83,,,
8497,53,,,
8504,45,,,
8510,53,,,
8516,52,,,
8518,41,,,
8522,79,,,
8539,36,,,
8544,36,,,
8554,64,,,
8559,,N,,
8562,35,,,
8579,34,,,
8582,40,,,
8593,48,,,
8595,70,,,
8596,56,,,
8606,35,,,
8621,39,,,
8622,46,,,
8630,43,,,
8634,34,,,
8641,,N,,
8642,48,,,
8645,45,,,
8646,58,,,
8647,35,,,
8651,37,,,
8653,60,,,
8661,46,,,
8667,66,,,
8672,31,,,
8674,35,,,
8677,70,,,
8678,40,,,
8687,61,,,
8692,,N,,
8696,63,,,
8698,62,,,
8699,51,,,
8702,30,,,
8712,65,,,
8720,,N,,
8750,72,,,
8758,53,,,
8777,46,,,
8780,43,,,
8785,71,,,
8799,58,,,
8800,95,,,
8806,44,,,
8808,39,,,
8828,33,,,
8831,41,,,
8844,,N,,
8853,57,,,
8856,46,,,
8859,97,S,Cita para entregar documentación.,
8861,44,,,
8877,58,,,
8884,32,,,
8885,59,,,
8897,,N,,
8898,,N,,
8904,63,,,
8907,85,,,
8910,51,,,
8914,51,,,
8919,73,,,
8926,38,,,
8927,36,,,
8933,57,,,
8935,44,,,
8936,39,,,
8940,42,,,
8941,51,,,
8958,39,,,
8966,59,,,
8970,31,,,
8979,53,,,
8985,44,,,
8997,37,,,
8998,41,,,
9002,56,,,
9011,59,,,
9015,37,,,
9039,33,,,
9040,50,,,
9042,75,,,
9048,33,,,
9058,53,,,
9069,66,,,
9088,42,,,
9092,38,,,
9094,42,,,
9112,42,,,
9120,67,,,
9133,31,,,
9136,91,,,
9142,63,,,
9149,64,,,
9150,31,,,
9157,61,,,
9167,,N,,
9170,103,S,Cita para entregar documentación.,
9178,78,,,
9182,57,,,
9188,63,,,
9190,40,,,
9196,81,,,
9197,99,S,,
9215,41,,,
9217,79,,,
9219,72,,,
9221,,N,,
9223,54,,,
9224,50,,,
9237,74,,,
9238,89,,,
9250,48,,,
9253,89,,,
9255,76,,,
9261,73,,,
9263,67,,,
9267,41,,,
9271,46,,,
9272,,N,,
9282,90,,,
9286,100,S,,
9297,38,,,
9300,64,,,
9303,34,,,
9304,81,,,
9305,60,,,
9318,45,,,
9322,39,,,
9327,,N,,
9339,35,,,
9343,79,,,
9345,36,,,
9352,74,,,
9353,89,,,
9357,57,,,
9360,,N,,
9362,,N,,
9363,36,,,
9373,77,,,
9378,43,,,
9380,,N,,
9383,103,S,Cita para entregar documentación.,
9390,92,,,
9391,44,,,
9395,79,,,
9396,34,,,
9398,42,,,
9399,88,,,
9403,105,S,Cita para entregar documentación.,
9406,86,,,
9409,93,,,
9411,70,,,
9414,,N,,
9415,103,S,,
9430,,N,,
9431,69,,,
9438,66,,,
9454,90,,,
9456,69,,,
9463,53,,,
9465,43,,,
9467,54,,,
9485,65,,,
9500,40,,,
9507,,N,,
9508,95,,,
9523,46,,,
9526,48,,,
9527,39,,,
9533,48,,,
9534,92,,,
9535,62,,,
9540,56,,,
9542,73,,,
9545,57,,,
9551,59,,,
9553,75,,,
9555,37,,,
9563,44,,,
9565,48,,,
9568,51,,,
9569,,N,,
9573,81,,,
9575,86,,,
9577,50,,,
9579,73,,,
9583,69,,,
9587,74,,,
9588,56,,,
9594,66,,,
9596,36,,,
9600,81,,,
9601,63,,,
9615,52,,,
9617,96,S,Cita para entregar documentación.,
9625,,N,,
9631,85,,,
9632,78,,,
9637,50,,,
9638,43,,,
9640,68,,,
9642,60,,,
9643,,N,,
9647,56,,,
9648,73,,,
9654,,N,,
9657,48,,,
9658,82,,,
9663,,N,,
9665,,N,,
