Número de comprobante,Aciertos,Acreditado,Detalles
40,,N,
71,52,,
74,72,,
126,91,,
134,46,,
151,41,,
163,109,S,Cita para entregar documentación.
174,,N,
175,,N,
200,39,,
243,48,,
256,36,,
279,72,,
358,107,S,Cita para entregar documentación.
394,,N,
427,54,,
429,,N,
450,59,,
560,106,,
683,35,,
720,95,,
749,65,,
770,62,,
788,,N,
843,,N,
911,,N,
947,47,,
987,75,,
989,104,,
1083,63,,
1116,58,,
1118,36,,
1203,108,S,
1270,32,,
1313,,N,
1317,93,,
1345,54,,
1362,50,,
1383,54,,
1400,68,,
1446,89,,
1500,38,,
1502,32,,
1583,77,,
1593,54,,
1609,53,,
1630,,N,
1631,84,,
1665,59,,
1739,70,,
1774,68,,
1776,35,,
1814,44,,
1815,,N,
1861,69,,
1899,117,S,
1981,87,,
2028,48,,
2043,37,,
2086,82,,
2096,33,,
2126,103,,
2143,38,,
2226,46,,
2247,53,,
2255,87,,
2281,71,,
2288,,N,
2300,69,,
2301,,N,
2310,54,,
2320,76,,
2388,79,,
2442,104,,
2493,93,,
2501,108,S,
2546,46,,
2627,109,S,Cita para entregar documentación.
2633,49,,
2642,39,,
2694,29,,
2770,,N,
2777,41,,
2833,,N,
2856,39,,
2884,51,,
2895,69,,
2947,93,,
2960,49,,
2978,89,,
2999,40,,
3038,71,,
3128,59,,
3195,58,,
3223,83,,
3242,30,,
3255,75,,
3269,43,,
3279,55,,
3286,69,,
3287,93,,
3293,114,S,Cita para entregar documentación.
3327,,N,
3331,59,,
3357,,N,
3407,50,,
3483,64,,
3497,53,,
3564,,N,
3573,95,,
3611,35,,
3652,73,,
3657,49,,
3658,,N,
3700,35,,
3760,52,,
3780,40,,
3792,34,,
3797,52,,
3822,,N,
3852,,N,
3880,39,,
3898,55,,
3932,72,,
3943,62,,
4015,56,,
4080,50,,
4122,104,,
4203,75,,
4224,51,,
4263,35,,
4322,,N,
4388,90,,
4407,32,,
4421,,N,
4441,39,,
4448,41,,
4509,37,,
4678,88,,
4679,35,,
4739,50,,
4891,107,S,
4895,84,,
4915,104,,
4922,84,,
4954,73,,
4956,71,,
4959,67,,
4979,91,,
4991,,N,
4995,99,,
5007,35,,
5053,80,,
5088,104,,
5101,93,,
5111,30,,
5193,39,,
5202,52,,
5225,77,,
5268,99,,
5269,51,,
5331,35,,
5334,88,,
5356,93,,
5380,29,,
5382,71,,
5387,,N,
5467,79,,
5475,107,S,
5477,96,,
5483,102,,
5493,94,,
5509,55,,
5533,40,,
5554,102,,
5606,34,,
5609,35,,
5643,68,,
5644,88,,
5686,47,,
5693,28,,
5696,93,,
5702,67,,
5711,62,,
5755,32,,
5765,42,,
5772,,,Cita para aclarar situación escolar.
5792,53,,
5808,29,,
5815,39,,
5841,,N,
5848,27,,
5867,,N,
5922,42,,
5955,77,,
5962,65,,
5971,85,,
5976,108,S,
5992,35,,
6004,40,,
6061,44,,
6073,,N,
6110,,N,
6147,,N,
6161,,N,
6166,51,,
6168,35,,
6174,37,,
6254,80,,
6295,41,,
6324,53,,
6418,74,,
6567,,N,
6602,,N,
6638,55,,
6639,46,,
6658,45,,
6682,46,,
6684,40,,
6727,78,,
6765,57,,
6768,46,,
6811,81,,
6872,42,,
6889,65,,
6912,43,,
6945,118,S,Cita para entregar documentación.
6947,39,,
6966,30,,
6986,34,,
6988,54,,
6994,36,,
7036,64,,
7051,,N,
7073,36,,
7112,88,,
7123,50,,
7132,,N,
7138,28,,
7142,49,,
7155,47,,
7192,69,,
7195,93,,
7236,78,,
7238,41,,
7264,31,,
7270,70,,
7295,116,S,
7307,43,,
7355,57,,
7374,32,,
7450,98,,
7481,54,,
7505,112,S,
7589,31,,
7623,39,,
7665,89,,
7689,105,,
7690,115,S,
7694,54,,
7733,62,,
7753,36,,
7770,,N,
7795,35,,
7870,,N,
7878,60,,
7892,,N,
7911,82,,
7922,37,,
