Número de comprobante,Aciertos,Acreditado,Detalles
1,98,,
26,95,,
35,54,,
39,32,,
55,,N,
60,46,,
61,88,,
120,,C,
142,37,,
173,60,,
193,,N,
202,111,,
206,116,S,Cita para entregar documentación.
227,75,,
304,114,S,Cita para entregar documentación.
306,,N,
307,30,,
328,87,,
375,112,,
401,114,S,Cita para entregar documentación.
407,,C,
428,95,,
447,55,,
493,53,,
501,45,,
549,48,,
567,35,,
572,114,S,
575,94,,
576,112,,
623,74,,
631,40,,
701,76,,
705,74,,
709,107,,
737,116,S,
743,85,,
760,80,,
764,99,,
795,80,,
809,77,,
815,33,,
819,101,,
937,113,S,Cita para entregar documentación.
973,59,,
981,34,,
989,60,,
991,94,,
997,,N,
1000,95,,
1007,109,,
1020,112,,
1053,109,,
1054,94,,
1112,32,,
1124,103,,
1181,54,,
1195,104,,
1211,45,,
1222,101,,
1286,47,,
1318,,N,
1340,59,,
1344,,N,
1364,99,,
1395,,C,
1398,54,,
1419,,N,
1423,115,S,Cita para entregar documentación.
1429,44,,
1431,61,,
1482,58,,
1496,52,,
1558,,C,
1605,114,S,Cita para entregar documentación.
1613,63,,
1634,38,,
1645,94,,
1648,,N,
1663,62,,
1709,27,,
1753,33,,
1778,36,,
1826,1,,
1911,50,,
1954,57,,
2043,103,,
2054,34,,
2058,82,,
2096,58,,
2167,52,,
2227,,N,
2240,42,,
2283,61,,
2301,,N,
2398,103,,
2404,59,,
2415,,N,
2416,111,,
2419,30,,
2437,80,,
2498,52,,
2539,,N,
2555,,N,
2569,,C,
2613,85,,
2626,,N,
2674,53,,
2693,57,,
2709,,N,
2747,,N,
2754,57,,
2761,,C,
2816,,N,
2834,90,,
2860,48,,
2865,113,S,Cita para entregar documentación.
2890,69,,
2917,,N,
2942,101,,
2944,95,,
2975,,N,
2997,84,,
3004,53,,
3006,70,,
3069,40,,
3080,,N,
3087,87,,
3108,70,,
3123,,N,
3143,71,,
3167,37,,
3180,108,,
3182,46,,
3183,115,S,Cita para entregar documentación.
3267,42,,
3270,78,,
3277,81,,
3302,68,,
3304,112,,
3341,78,,
3346,,N,
3432,,N,
3441,,N,
3465,69,,
3486,107,,
3524,106,,
3528,45,,
3536,99,,
3574,41,,
3612,74,,
3704,89,,
3738,43,,
3807,66,,
3828,43,,
3850,92,,
3941,,N,
3942,41,,
3985,,C,
4027,35,,
4055,,N,
4163,75,,
4172,,N,
4239,,N,
4288,48,,
4305,,N,
4307,59,,
4408,81,,
4422,102,,
4444,41,,
4449,51,,
4454,92,,
4535,98,,
4547,58,,
4562,71,,
4590,52,,
4605,120,S,Cita para entregar documentación.
4619,104,,
4697,87,,
4715,39,,
4747,69,,
4788,55,,
4815,48,,
4821,20,,
5010,29,,
5026,38,,
5033,10,,
5070,27,,
5093,,N,
5165,62,,
5220,,N,
5229,68,,
5262,107,,
5273,54,,
5347,45,,
5429,35,,
5465,94,,
5531,104,,
5539,,N,
5540,75,,
5586,,N,
5650,33,,
5671,75,,
5698,63,,
5712,49,,
5732,,N,
5750,100,,
5785,62,,
5819,40,,
5826,36,,
5837,111,,
5873,,N,
5939,85,,
5940,87,,
5955,36,,
5966,105,,
5979,52,,
6001,105,,
6078,39,,
6082,,N,
6089,,N,
6107,90,,
6151,88,,
6163,40,,
6165,44,,
6209,114,S,Cita para entregar documentación.
6224,69,,
6237,47,,
6275,45,,
6318,72,,
6329,,N,
6359,36,,
6404,113,S,Cita para entregar documentación.
6427,62,,
6449,,N,
6458,102,,
6469,72,,
6476,68,,
6506,109,,
6507,43,,
6535,50,,
6607,,N,
6625,,N,
6639,,N,
6650,,N,
6652,89,,
6713,57,,
6763,,N,
6769,92,,
6779,39,,
6813,105,,
6842,58,,
6908,101,,
6953,50,,
6985,49,,
7066,108,,
7096,50,,
7118,,N,
7140,52,,
7148,86,,
