Número de comprobante,Aciertos,Acreditado,Detalles
16,92,,
32,44,,
62,75,,
73,59,,
96,88,,
174,88,,
179,47,,
198,58,,
204,64,,
221,86,,
299,79,,
321,76,,
329,79,,
330,49,,
336,103,,
340,98,,
379,100,,
387,67,,
404,,N,
443,,N,
528,99,,
529,,C,
530,42,,
538,102,,
546,105,,
551,,C,
605,107,,
624,51,,
625,105,,
648,48,,
756,86,,
767,63,,
827,,N,
858,56,,
898,79,,
899,104,,
926,100,,
949,90,,
1021,32,,
1023,59,,
1067,48,,
1076,100,,
1157,113,S,
1171,108,,
1253,91,,
1264,87,,
1276,,C,
1277,80,,
1283,108,,
1287,52,,
1288,86,,
1304,46,,
1306,98,,
1386,77,,
1410,99,,
1413,108,,
1417,80,,
1478,,N,
1487,70,,
1493,114,S,Cita para entregar documentación.
1503,104,,
1506,106,,
1507,95,,
1513,58,,
1572,81,,
1578,62,,
1580,107,,
1581,115,S,Cita para entregar documentación.
1592,113,S,
1607,103,,
1608,37,,
1635,75,,
1649,,C,
1673,112,,
1731,66,,
1737,113,S,Cita para entregar documentación.
1790,,N,
1793,105,,
1827,111,,
1844,,C,
1896,107,,
1901,53,,
1904,94,,
2010,38,,
2017,,,Cita para aclarar situación escolar.
2020,36,,
2024,95,,
2035,76,,
2112,79,,
2147,48,,
2150,108,,
2163,,N,
2164,102,,
2166,60,,
2203,61,,
2239,76,,
2276,74,,
2292,111,,
2312,102,,
2323,116,S,
2352,106,,
2360,55,,
2397,,N,
2515,,C,
2527,,N,
2547,,N,
2566,35,,
2576,96,,
2617,,N,
2646,116,S,
2689,70,,
2690,105,,
2713,102,,
2779,77,,
2843,36,,
2867,,N,
2926,49,,
2927,101,,
2961,92,,
2991,108,,
3024,74,,
3033,119,S,Cita para entregar documentación.
3046,39,,
3081,63,,
3118,,N,
3174,116,S,
3218,40,,
3252,105,,
3278,103,,
3285,49,,
3289,71,,
3301,42,,
3313,71,,
3328,91,,
3330,102,,
3349,84,,
3351,105,,
3381,112,,
3392,42,,
3484,99,,
3546,87,,
3586,,N,
3651,109,,
3664,47,,
3665,,N,
3708,102,,
3730,57,,
3734,108,,
3750,110,,
3764,56,,
3768,67,,
3770,53,,
3784,,N,
3787,114,S,Cita para entregar documentación.
3794,118,S,
3841,65,,
3853,114,S,Cita para entregar documentación.
3879,98,,
3889,116,S,
3906,82,,
3940,48,,
3956,69,,
3965,104,,
3994,,N,
4049,31,,
4052,100,,
4082,97,,
4103,76,,
4114,,C,
4126,96,,
4146,91,,
4166,98,,
4190,109,,
4199,87,,
4228,76,,
4268,108,,
4277,88,,
4299,111,,
4301,59,,
4303,33,,
4304,105,,
4328,,N,
4352,90,,
4357,43,,
4366,,N,
4368,116,S,Cita para entregar documentación.
4420,78,,
4486,105,,
4516,113,S,Cita para entregar documentación.
4517,98,,
4594,52,,
4607,85,,
4622,63,,
4624,104,,
4642,84,,
4664,48,,
4707,89,,
4726,80,,
4731,83,,
4784,54,,
4851,33,,
4879,95,,
4893,108,,
4901,60,,
4962,85,,
4966,62,,
4984,62,,
5065,65,,
5144,89,,
5207,101,,
5223,,C,
5228,108,,
5281,,N,
5299,93,,
5317,97,,
5319,102,,
5330,58,,
5366,114,S,Cita para entregar documentación.
5380,33,,
5381,37,,
5400,70,,
5422,40,,
5466,95,,
5480,104,,
5498,110,,
5509,68,,
5512,112,,
5518,49,,
5520,119,S,
5545,116,S,
5566,51,,
5627,91,,
5635,78,,
5689,62,,
5736,109,,
5789,51,,
5793,,N,
5800,47,,
5804,110,,
5807,56,,
5849,,N,
5854,107,,
5902,9,,
5946,70,,
5954,86,,
5958,115,S,
5965,69,,
6015,91,,
6024,,C,
6028,106,,
6043,96,,
6051,102,,
6052,106,,
6098,107,,
6152,49,,
6154,80,,
6158,45,,
6222,59,,
6243,53,,
6267,97,,
6305,108,,
6331,43,,
6403,63,,
6438,71,,
6468,30,,
6495,104,,
6505,86,,
6516,104,,
6546,108,,
6549,,N,
6559,48,,
6593,,N,
6600,99,,
6642,104,,
6690,102,,
6702,77,,
6706,70,,
6709,33,,
6726,45,,
6729,82,,
6732,105,,
6741,79,,
6743,102,,
6751,108,,
6793,99,,
6805,113,S,Cita para entregar documentación.
6812,90,,
6818,64,,
6829,109,,
6865,37,,
6892,,N,
6925,82,,
6942,86,,
6978,103,,
6989,86,,
7007,94,,
7035,111,,
7041,106,,
7063,63,,
7089,100,,
7138,87,,
7187,63,,
7210,83,,
7212,99,,
7261,66,,
7279,70,,
7308,114,S,
7329,93,,
7385,67,,
7408,59,,
7453,78,,
7492,61,,
7549,67,,
7583,104,,
7600,98,,
7608,51,,
7655,102,,
7689,40,,
7724,70,,
7753,108,,
7762,83,,
7772,69,,
7787,103,,
7798,109,,
7799,44,,
7868,98,,
7882,,N,
7905,107,,
7917,45,,
7918,,N,
7927,65,,
7933,99,,
7955,103,,
7959,,N,
7964,85,,
7997,55,,
8026,,C,
8083,,N,
8103,49,,
8108,62,,
8123,100,,
8132,98,,
8133,102,,
8186,82,,
8279,52,,
8281,60,,
8290,55,,
8300,44,,
8307,113,S,
8317,84,,
8336,78,,
8344,57,,
8358,71,,
8420,93,,
8423,79,,
8470,,N,
8473,109,,
8485,58,,
8486,38,,
8534,63,,
8536,104,,
8557,44,,
8587,100,,
8619,39,,
8638,,N,
8665,,N,
8669,,N,
8727,49,,
8761,,N,
8789,106,,
8793,106,,
8805,48,,
8806,31,,
8822,104,,
8828,112,,
