Número de comprobante,Aciertos,Acreditado,Detalles
38,71,,
47,100,,
105,109,S,Cita para entregar documentación.
113,36,,
120,48,,
127,47,,
239,101,S,Cita para entregar documentación.
267,37,,
289,40,,
360,31,,
410,42,,
431,70,,
437,48,,
483,103,S,
495,81,,
497,77,,
512,97,,
551,57,,
589,99,,
674,50,,
678,94,,
728,85,,
743,94,,
796,68,,
807,35,,
859,70,,
951,57,,
1018,,N,
1093,60,,
1117,67,,
1123,82,,
1135,75,,
1139,64,,
1141,109,S,Cita para entregar documentación.
1153,97,,
1157,,N,
1175,,N,
1216,,,Cita para aclarar situación escolar.
1257,112,S,Cita para entregar documentación.
1324,63,,
1328,80,,
1333,67,,
1339,,N,
1343,,N,
1390,57,,
1398,96,,
1438,63,,
1466,72,,
1490,,N,
1506,74,,
1515,71,,
1520,50,,
1527,87,,
1545,84,,
1551,67,,
1584,62,,
1618,91,,
1633,78,,
1672,,,Cita para aclarar situación escolar.
1694,91,,
1781,65,,
2087,79,,
2109,60,,
2127,66,,
2161,83,,
2289,56,,
2331,98,,
2347,54,,
2353,60,,
2447,41,,
2478,79,,
2482,51,,
2503,69,,
2548,77,,
2555,44,,
2595,90,,
2614,60,,
2641,58,,
2648,98,,
2665,89,,
2666,61,,
2684,59,,
2685,30,,
2693,,N,
2707,98,,
2729,59,,
2734,112,S,
2740,62,,
2760,90,,
2766,38,,
2771,51,,
2804,87,,
2813,46,,
2818,40,,
2819,75,,
2825,74,,
2833,104,S,Cita para entregar documentación.
2879,99,,
2913,87,,
2917,50,,
2932,70,,
2937,36,,
2943,65,,
3033,,N,
3038,55,,
3072,40,,
3082,55,,
3117,51,,
3247,47,,
3329,96,,
3479,26,,
3687,68,,
3915,48,,
3943,37,,
4016,42,,
4037,,N,
4068,55,,
4080,37,,
4206,63,,
4248,81,,
4307,109,S,Cita para entregar documentación.
4337,101,S,
4357,74,,
4375,60,,
4420,90,,
4449,46,,
4458,,N,
4476,45,,
4478,110,S,Cita para entregar documentación.
4484,66,,
4532,45,,
4533,42,,
4581,,N,
4582,34,,
4591,23,,
4597,115,S,
4603,51,,
4608,64,,
4661,105,S,Cita para entregar documentación.
4674,54,,
4681,61,,
4723,46,,
4724,39,,
4741,38,,
4752,61,,
4753,51,,
4772,112,S,
4809,82,,
4837,43,,
4847,52,,
4851,47,,
4877,48,,
4886,63,,
4896,70,,
4914,,N,
4919,81,,
4966,48,,
4972,64,,
4973,47,,
4981,70,,
4993,70,,
5029,87,,
5078,52,,
5111,111,S,Cita para entregar documentación.
5142,26,,
5147,37,,
5159,68,,
5162,75,,
5178,72,,
5214,,N,
5230,49,,
5249,50,,
5279,28,,
5305,51,,
5309,51,,
5310,73,,
5356,102,S,Cita para entregar documentación.
5362,,N,
5376,89,,
5391,26,,
5398,52,,
5409,,N,
5412,102,S,Cita para entregar documentación.
5439,47,,
5448,69,,
5451,49,,
5459,86,,
5489,,N,
5533,64,,
5559,62,,
5566,86,,
5580,61,,
5601,105,S,
5613,83,,
5629,60,,
5649,101,S,Cita para entregar documentación.
5673,56,,
5715,43,,
5746,61,,
5777,52,,
5790,50,,
5817,39,,
5914,49,,
5937,51,,
5963,49,,
5981,46,,
6005,94,,
6035,,N,
6045,50,,
6061,103,S,Cita para entregar documentación.
6073,66,,
6116,76,,
6146,90,,
6152,,N,
6158,114,S,
6161,49,,
6198,107,S,Cita para entregar documentación.
6203,54,,
6218,80,,
6227,66,,
6251,58,,
6256,45,,
6301,74,,
6307,94,,
6314,38,,
6315,92,,
6347,57,,
6355,63,,
6396,96,,
6587,104,S,Cita para entregar documentación.
6625,96,,
6656,94,,
6664,54,,
6806,57,,
6839,73,,
6890,72,,
6910,89,,
6928,46,,
6934,84,,
6963,,N,
6972,88,,
7030,88,,
7064,76,,
7067,75,,
7154,52,,
7201,43,,
7209,62,,
7240,88,,
7254,82,,
7268,80,,
7269,76,,
7316,82,,
7321,44,,
7352,77,,
7442,,N,
7451,52,,
7454,47,,
7471,75,,
7472,57,,
7476,57,,
7516,77,,
7524,38,,
7549,,N,
7569,,N,
7722,64,,
7738,39,,
7739,78,,
7760,98,,
7771,56,,
7773,45,,
7779,,N,
7801,37,,
7875,89,,
7923,63,,
7950,97,,
8009,71,,
8020,60,,
8169,,N,
8202,68,,
8221,41,,
8249,93,,
8288,52,,
8310,42,,
8322,90,,
8383,52,,
8402,54,,
8449,,N,
8456,52,,
8493,74,,
8494,42,,
8513,61,,
8550,42,,
8609,100,,
8617,,N,
8626,36,,
8644,73,,
8651,92,,
8664,92,,
8674,77,,
8680,41,,
8683,46,,
8700,50,,
8719,65,,
8728,45,,
8739,76,,
8765,77,,
8831,53,,
8959,50,,
9080,49,,
9082,77,,
9106,94,,
9229,75,,
9240,,N,
9278,,N,
9369,50,,
9403,45,,
9512,52,,
9595,74,,
9654,,N,
9662,48,,
9663,59,,
9688,66,,
9692,59,,
9745,27,,
9758,53,,
9851,43,,
9964,94,,
9975,,N,
9987,68,,
10007,36,,
10119,48,,
10256,78,,
10271,56,,
10335,51,,
10421,85,,
10427,,N,
10435,40,,
10467,68,,
10491,113,S,Cita para entregar documentación.
10576,84,,
10586,,N,
10617,89,,
10632,80,,
10672,45,,
10720,74,,
10776,103,S,Cita para entregar documentación.
10780,105,S,Cita para entregar documentación.
10808,57,,
10830,58,,
10840,58,,
10856,68,,
10866,66,,
10872,68,,
10900,75,,
10982,81,,
10992,46,,
11039,101,S,Cita para entregar documentación.
11080,54,,
11081,71,,
11186,34,,
11214,81,,
11263,79,,
11303,47,,
11323,,,Cita para aclarar situación escolar.
11399,38,,
11471,97,,
11496,88,,
11549,52,,
11784,51,,
11813,,N,
11941,94,,
11983,69,,
12361,72,,
12374,46,,
12682,99,,
12695,91,,
12697,52,,
12718,,N,
12720,49,,
12743,71,,
12779,50,,
12792,92,,
12812,,N,
12821,88,,
12918,73,,
12954,82,,
13012,,N,
13068,39,,
13077,51,,
13089,74,,
13115,78,,
13127,109,S,
13144,52,,
13160,,N,
13212,101,S,
13257,45,,
13275,44,,
13281,60,,
13307,50,,
13320,114,S,
13341,,N,
13350,73,,
13356,76,,
13425,58,,
13434,48,,
13442,85,,
13462,68,,
13472,85,,
13499,72,,
13515,71,,
13519,59,,
13595,95,,
13718,111,S,
13732,94,,
13799,37,,
13811,35,,
13818,81,,
13872,62,,
13919,,N,
13968,,N,
14056,45,,
14132,81,,
14153,76,,
14157,64,,
14180,33,,
14216,42,,
14218,,N,
14220,76,,
14242,,N,
14251,49,,
14278,51,,
14294,51,,
14351,64,,
14354,,N,
14380,88,,
14411,43,,
14431,27,,
14449,60,,
14469,68,,
14474,48,,
14475,71,,
14480,42,,
14481,55,,
14582,43,,
14604,39,,
14611,58,,
14613,80,,
14645,52,,
14647,40,,
14651,84,,
14654,83,,
14676,55,,
14683,84,,
14709,35,,
14710,,N,
14781,50,,
14796,95,,
14843,63,,
14846,77,,
14870,,N,
14876,50,,
14942,71,,
14986,,N,
15007,65,,
15023,41,,
15065,53,,
15113,43,,
15128,64,,
15159,50,,
15188,62,,
15210,70,,
15249,69,,
15280,,N,
15281,,N,
15290,59,,
15311,57,,
15317,77,,
15351,57,,
15358,89,,
15418,53,,
15437,67,,
15454,43,,
15467,,N,
15473,,N,
15475,55,,
15518,108,S,Cita para entregar documentación.
15555,54,,
15560,77,,
15571,95,,
15642,93,,
15695,60,,
15705,61,,
15723,45,,
15731,,N,
15772,,N,
15798,60,,
15825,79,,
15855,,N,
15874,67,,
15914,54,,
15946,,N,
15964,69,,
15996,,N,
16036,,N,
16082,72,,
16117,57,,
16131,64,,
16134,100,,
16223,64,,
16308,97,,
16314,69,,
16327,63,,
16331,87,,
16337,83,,
16340,60,,
16347,66,,
16348,41,,
16356,91,,
16358,,N,
16366,,N,
16418,71,,
16438,65,,
16444,35,,
16447,43,,
16498,56,,
16520,62,,
16586,68,,
16645,43,,
16656,84,,
16692,78,,
16696,97,,
16732,,N,
16761,48,,
16765,58,,
16786,78,,
16790,71,,
16811,61,,
16824,51,,
16859,57,,
16864,76,,
16936,107,S,
16938,75,,
16943,80,,
16946,104,S,
16960,39,,
17005,45,,
17007,75,,
17017,74,,
17142,66,,
17175,41,,
17515,58,,
17529,61,,
17583,,N,
17738,55,,
17840,,N,
17853,53,,
18011,58,,
18035,77,,
18123,78,,
18177,72,,
18196,58,,
18201,,N,
18222,67,,
18299,,N,
18320,65,,
18395,69,,
18433,76,,
18552,38,,
18573,44,,
18663,45,,
18671,101,S,Cita para entregar documentación.
18724,,N,
18854,94,,
18899,109,S,Cita para entregar documentación.
18927,52,,
18995,83,,
19058,85,,
19097,89,,
19105,60,,
19130,58,,
19172,62,,
19177,,N,
19203,41,,
19231,38,,
19252,68,,
19265,,N,
19278,35,,
19282,40,,
19377,77,,
19398,69,,
19416,43,,
19434,56,,
19461,48,,
19478,40,,
19492,55,,
19564,39,,
19593,54,,
19609,65,,
19677,95,,
19680,55,,
19700,48,,
19705,109,S,Cita para entregar documentación.
19725,44,,
19743,59,,
19757,65,,
19802,92,,
19827,74,,
19828,49,,
19852,53,,
19860,102,S,Cita para entregar documentación.
19864,88,,
19874,,N,
19876,53,,
19924,,N,
20008,37,,
20010,46,,
20028,62,,
20047,73,,
20067,34,,
20084,78,,
20102,76,,
20155,69,,
20237,82,,
20253,,N,
20270,80,,
20274,44,,
20310,47,,
20319,54,,
20338,106,S,Cita para entregar documentación.
20402,44,,
20421,82,,
20464,48,,
20479,,N,
20505,99,,
20549,85,,
20581,39,,
20586,89,,
20587,48,,
20613,63,,
20757,67,,
20758,51,,
20788,57,,
20856,50,,
20925,33,,
20930,75,,
20949,101,S,
21012,85,,
21030,82,,
21043,,N,
21057,50,,
21085,85,,
21122,,N,
21159,77,,
21165,68,,
21201,82,,
21239,81,,
21272,42,,
21283,66,,
21366,76,,
21393,39,,
21515,52,,
21743,96,,
21756,97,,
21764,,N,
21782,91,,
21816,79,,
21867,41,,
21936,57,,
21955,101,S,Cita para entregar documentación.
22204,84,,
22214,61,,
22216,60,,
22324,83,,
22340,41,,
22381,61,,
22424,,N,
22443,,N,
22509,62,,
22550,,N,
22677,77,,
22800,104,S,Cita para entregar documentación.
22827,46,,
22876,60,,
22958,51,,
23214,39,,
23229,79,,
23279,80,,
23313,94,,
23358,42,,
23478,78,,
23486,89,,
23545,46,,
23554,78,,
23592,43,,
23602,37,,
23607,43,,
23679,76,,
23714,42,,
23821,34,,
23895,,N,
24104,,N,
24134,67,,
24245,57,,
24263,,N,
24291,,N,
24298,78,,
24312,65,,
24334,76,,
24382,,N,
24389,,N,
24446,,N,
24458,86,,
24485,81,,
24501,,N,
24503,67,,
24510,47,,
24611,79,,
24640,95,,
24642,,N,
24659,43,,
24795,72,,
24818,71,,
24865,58,,
24871,,N,
24881,63,,
24898,65,,
24899,,N,
24970,72,,
24974,103,S,Cita para entregar documentación.
24989,65,,
24996,80,,
25021,,N,
25056,42,,
25083,94,,
25205,97,,
25210,76,,
25263,,N,
25301,48,,
25313,70,,
25319,115,S,
25368,58,,
25377,,N,
25467,78,,
25491,75,,
25528,47,,
25552,39,,
25593,38,,
25604,86,,
25680,54,,
25847,36,,
25854,,N,
26113,35,,
26131,66,,
26139,93,,
26184,64,,
26290,,N,
26388,46,,
26430,35,,
26506,39,,
26559,62,,
26576,59,,
26698,45,,
26803,109,S,Cita para entregar documentación.
26828,39,,
26834,73,,
26866,39,,
26877,69,,
26896,39,,
26921,,N,
26930,45,,
26940,57,,
26945,58,,
26951,49,,
27023,33,,
27024,47,,
27040,56,,
27064,43,,
27088,67,,
27149,46,,
27161,59,,
27174,60,,
27185,39,,
27228,34,,
27230,42,,
27231,81,,
27553,,N,
27575,36,,
27604,80,,
27611,,N,
27743,69,,
27752,73,,
27778,34,,
27911,116,S,Cita para entregar documentación.
27961,87,,
27973,,N,
27984,34,,
28030,62,,
28038,45,,
28160,44,,
28165,39,,
28177,33,,
28199,88,,
28224,,,Cita para aclarar situación escolar.
28242,73,,
28250,54,,
28325,100,,
28415,91,,
28432,35,,
28473,72,,
28475,95,,
28519,45,,
28555,89,,
28588,72,,
28672,72,,
28728,69,,
28777,29,,
28779,59,,
28862,,N,
28865,,N,
28875,90,,
28910,87,,
28978,101,S,Cita para entregar documentación.
29001,79,,
29088,54,,
29186,,N,
29190,58,,
29226,75,,
29314,68,,
29363,70,,
29366,47,,
29377,96,,
29407,107,S,Cita para entregar documentación.
29429,,N,
29499,44,,
29551,73,,
29670,86,,
29698,70,,
29830,47,,
29841,46,,
30013,61,,
30099,63,,
30127,56,,
30132,,N,
30232,52,,
30300,70,,
30351,,N,
30361,87,,
30416,59,,
30446,52,,
30463,,N,
30512,33,,
30552,98,,
30584,51,,
30594,53,,
30604,,N,
30623,81,,
30667,55,,
30722,69,,
30751,,N,
30771,57,,
30783,73,,
30789,48,,
30798,58,,
30820,87,,
30962,86,,
