Número de comprobante,Aciertos,Acreditado,Detalles
8,53,,
15,63,,
37,56,,
86,79,,
112,82,,
116,86,,
166,105,,
204,55,,
219,102,,
241,94,,
290,,N,
307,99,,
315,104,,
340,82,,
384,50,,
441,96,,
485,102,,
519,54,,
533,,N,
567,82,,
575,64,,
577,66,,
600,69,,
615,39,,
627,,N,
644,108,S,
645,39,,
680,85,,
761,70,,
799,110,S,Cita para entregar documentación.
829,56,,
853,107,S,
860,41,,
880,91,,
931,100,,
939,37,,
973,48,,
1078,38,,
1102,93,,
1157,96,,
1288,70,,
1322,50,,
1325,88,,
1368,85,,
1369,,N,
1386,71,,
1387,92,,
1395,47,,
1440,79,,
1501,57,,
1580,70,,
1611,70,,
1656,49,,
1699,108,S,Cita para entregar documentación.
1700,55,,
1730,104,,
1789,112,S,Cita para entregar documentación.
1803,105,,
1839,104,,
1841,68,,
1844,49,,
1859,56,,
1865,101,,
1922,97,,
1926,96,,
1931,60,,
1939,,N,
1945,95,,
1949,83,,
1995,81,,
1996,112,S,Cita para entregar documentación.
2062,47,,
2064,58,,
2077,39,,
2089,116,S,
2108,42,,
2154,66,,
2176,58,,
2202,,N,
2229,78,,
2232,105,,
2233,52,,
2243,72,,
2265,38,,
2292,93,,
2302,86,,
2304,52,,
2307,90,,
2360,41,,
2372,,N,
2374,112,S,
2394,46,,
2401,45,,
2408,112,S,
2431,105,,
2448,101,,
2483,105,,
2512,116,S,Cita para entregar documentación.
2537,45,,
2538,43,,
2626,33,,
2634,55,,
2674,35,,
2722,43,,
2783,96,,
2805,68,,
2877,56,,
2898,108,S,
2905,53,,
2952,62,,
2979,81,,
2981,59,,
3021,62,,
3057,87,,
3097,100,,
3136,,N,
3144,55,,
3154,104,,
3178,105,,
3180,59,,
3182,55,,
3197,100,,
3198,40,,
3215,40,,
3216,66,,
3217,71,,
3261,93,,
3314,91,,
3321,87,,
3328,43,,
3333,,N,
3399,109,S,
3417,,N,
3472,57,,
3474,50,,
3485,92,,
3502,41,,
3522,71,,
3535,112,S,Cita para entregar documentación.
3557,,N,
3610,53,,
3617,50,,
3629,34,,
3662,54,,
3668,90,,
3703,,N,
3707,43,,
3737,68,,
3816,,N,
3839,91,,
3881,61,,
3933,37,,
3957,,N,
3958,,N,
3984,51,,
4054,73,,
4130,84,,
4136,62,,
4163,85,,
4212,96,,
4252,105,,
4272,87,,
4273,73,,
4279,76,,
4310,52,,
4427,92,,
4459,35,,
4480,73,,
4489,114,S,Cita para entregar documentación.
4526,101,,
4565,91,,
4610,49,,
4652,67,,
4688,63,,
4690,81,,
4723,88,,
4726,,N,
4755,36,,
4791,42,,
4829,52,,
4838,42,,
4870,41,,
4916,105,,
4942,,N,
4943,40,,
4947,93,,
4953,49,,
5005,88,,
5008,75,,
5038,82,,
5152,95,,
5158,,N,
5184,42,,
5203,76,,
5250,104,,
5291,45,,
5311,30,,
5318,49,,
5332,51,,
5358,56,,
5359,,N,
5409,56,,
5420,59,,
5449,,N,
5480,46,,
5538,56,,
5578,72,,
5594,51,,
5607,69,,
5611,32,,
5637,76,,
5646,55,,
5664,95,,
5828,29,,
5831,69,,
5860,94,,
5915,66,,
5926,61,,
5952,62,,
5965,97,,
5978,44,,
6008,47,,
6017,47,,
6032,108,S,
6066,55,,
6078,75,,
6103,47,,
6132,40,,
6200,46,,
6224,43,,
6245,50,,
6272,72,,
6287,103,,
6314,76,,
6321,93,,
6322,57,,
6380,56,,
6401,107,S,
6423,,N,
6496,109,S,Cita para entregar documentación.
6497,52,,
6544,,N,
6606,95,,
6614,,N,
6629,,N,
6655,77,,
6690,107,S,
6699,109,S,Cita para entregar documentación.
6712,64,,
6721,64,,
6737,74,,
6776,67,,
6799,45,,
6818,46,,
6820,61,,
6888,90,,
6909,92,,
6939,100,,
6942,,N,
7013,56,,
7049,49,,
7053,48,,
7082,41,,
7105,47,,
7129,75,,
7159,51,,
7214,82,,
7224,57,,
7232,98,,
7247,81,,
7251,,N,
7268,43,,
7285,70,,
7313,77,,
7339,42,,
7352,65,,
7392,86,,
7430,99,,
7453,56,,
7458,61,,
7462,81,,
7477,60,,
7488,45,,
7502,54,,
7533,48,,
7539,76,,
7540,107,S,Cita para entregar documentación.
7564,48,,
7582,52,,
7603,,N,
7682,51,,
7683,47,,
7742,96,,
7796,71,,
7817,44,,
7819,50,,
7829,115,S,Cita para entregar documentación.
7832,67,,
7837,49,,
7844,64,,
7856,73,,
7859,54,,
7861,44,,
7867,108,S,
7868,51,,
7885,110,S,Cita para entregar documentación.
7889,84,,
7896,66,,
7905,52,,
7921,58,,
7971,31,,
8002,69,,
8024,70,,
8030,74,,
8054,43,,
8057,75,,
8061,,N,
8076,69,,
8141,108,S,
8161,,N,
8193,72,,
8202,,N,
8205,87,,
8213,102,,
8217,105,,
8234,68,,
8249,51,,
8253,54,,
8256,45,,
8297,31,,
8317,55,,
8338,59,,
8347,85,,
8359,54,,
8387,100,,
8391,99,,
8410,,N,
8421,39,,
8507,,N,
8522,36,,
8613,72,,
8624,54,,
8625,41,,
8648,96,,
8656,,N,
8684,84,,
8693,89,,
8694,67,,
8703,69,,
8719,62,,
8775,48,,
8782,62,,
8789,40,,
8817,26,,
8830,54,,
8838,,N,
8843,69,,
8892,,N,
8906,47,,
8916,107,S,Cita para entregar documentación.
8950,48,,
8995,87,,
9011,89,,
9017,,N,
9020,40,,
9055,105,,
9060,,N,
9127,41,,
9186,55,,
9190,96,,
9207,50,,
9227,76,,
9234,57,,
9270,70,,
9369,62,,
9383,,N,
9417,48,,
9446,50,,
9473,57,,
9500,51,,
9520,62,,
9570,48,,
9578,53,,
9584,,N,
9607,,N,
9614,70,,
9688,67,,
9692,82,,
9741,62,,
9786,110,S,
9791,,N,
9844,,N,
9866,47,,
9876,,N,
9878,66,,
9906,56,,
10110,,N,
10184,76,,
10194,108,S,
10221,69,,
10229,91,,
10268,81,,
10316,48,,
10343,45,,
10354,38,,
10387,70,,
10402,90,,
10456,73,,
10469,86,,
10475,49,,
10499,107,S,Cita para entregar documentación.
10569,110,S,
10653,106,,
10665,45,,
10680,77,,
10694,60,,
10757,101,,
10768,73,,
10769,104,,
10770,65,,
10776,58,,
10806,69,,
10817,,N,
10846,84,,
10847,29,,
10858,67,,
10864,66,,
10915,93,,
10995,55,,
11005,81,,
11017,112,S,Cita para entregar documentación.
11041,42,,
11058,52,,
11065,55,,
11086,82,,
11110,102,,
