Número de comprobante,Aciertos,Acreditado,Detalles
4,111,S,Cita para entregar documentación.
12,,N,
28,69,,
34,46,,
53,91,,
61,68,,
97,60,,
102,92,,
139,77,,
144,102,,
150,,N,
154,95,,
185,,,Cita para aclarar situación escolar.
199,115,S,Cita para entregar documentación.
201,73,,
204,,N,
227,84,,
243,56,,
306,49,,
328,115,S,Cita para entregar documentación.
331,55,,
351,70,,
364,73,,
409,96,,
411,111,S,Cita para entregar documentación.
424,94,,
433,111,S,
434,59,,
469,33,,
506,68,,
509,56,,
518,68,,
534,56,,
543,95,,
586,62,,
625,85,,
629,37,,
634,49,,
652,,N,
653,77,,
732,88,,
745,45,,
754,,N,
767,48,,
816,105,,
839,99,,
846,66,,
878,,N,
883,,N,
907,44,,
923,92,,
925,72,,
929,71,,
940,36,,
946,76,,
977,79,,
1044,97,,
1105,72,,
1106,39,,
1197,73,,
1198,,N,
1201,67,,
1228,57,,
1274,74,,
1401,63,,
1428,24,,
1462,86,,
1502,,N,
1533,62,,
1543,97,,
1577,52,,
1590,107,,
1621,109,S,
1635,,N,
1651,60,,
1654,,N,
1685,61,,
1690,46,,
1772,58,,
1786,95,,
1800,87,,
1820,,N,
1824,65,,
1882,99,,
1902,45,,
1905,45,,
1923,,N,
1981,83,,
2000,103,,
2052,71,,
2066,49,,
2070,47,,
2074,56,,
2110,38,,
2117,99,,
2134,94,,
2144,,N,
2164,107,,
2186,79,,
2210,61,,
2239,,N,
2241,56,,
2253,53,,
2274,39,,
2276,75,,
2310,99,,
2349,80,,
2364,46,,
2367,61,,
2417,65,,
2420,28,,
2422,68,,
2462,100,,
2480,,N,
2502,65,,
2505,97,,
2579,112,S,
2588,64,,
2594,92,,
2613,49,,
2637,51,,
2663,47,,
2683,57,,
2703,58,,
2745,118,S,Cita para entregar documentación.
2752,,N,
2783,69,,
2807,52,,
2865,,N,
2890,32,,
2925,66,,
2931,84,,
2945,64,,
2966,,N,
2987,75,,
3002,64,,
3069,91,,
3097,,N,
3134,96,,
3165,83,,
3178,88,,
3186,,N,
3200,90,,
3214,31,,
3217,102,,
3219,,N,
3259,74,,
3298,90,,
3304,,N,
3311,,N,
3327,94,,
3340,51,,
3387,24,,
3424,71,,
3438,28,,
3446,83,,
3451,,N,
3471,93,,
3488,47,,
3499,59,,
3507,97,,
3567,68,,
3570,44,,
3575,,N,
3580,34,,
3667,73,,
3700,94,,
3748,,N,
3788,,N,
3816,49,,
3826,68,,
3841,,N,
3888,55,,
3979,54,,
3987,37,,
3994,72,,
4073,43,,
4108,70,,
4122,51,,
4133,92,,
4165,34,,
4168,54,,
4180,70,,
4206,82,,
4215,40,,
4265,88,,
4271,61,,
4290,108,,
4291,46,,
4293,,N,
4312,98,,
4313,,N,
4318,48,,
4382,75,,
4407,,N,
4409,110,S,
4486,84,,
4494,107,,
4497,84,,
4510,49,,
4512,,N,
4553,,N,
4565,24,,
4686,84,,
4697,58,,
4708,48,,
4737,51,,
4787,80,,
4828,48,,
