Número de comprobante,Aciertos,Acreditado,Detalles
2,96,,
16,92,,
25,41,,
39,83,,
108,106,S,Cita para entregar documentación.
110,99,,
133,60,,
190,53,,
209,72,,
231,111,S,Cita para entregar documentación.
234,57,,
253,106,S,Cita para entregar documentación.
272,94,,
295,90,,
326,99,,
365,63,,
397,113,S,Cita para entregar documentación.
514,115,S,Cita para entregar documentación.
564,85,,
568,47,,
589,44,,
599,83,,
628,80,,
778,41,,
794,102,,
826,75,,
865,,N,
866,114,S,
897,62,,
996,,N,
1024,58,,
1049,76,,
1117,86,,
1141,,N,
1155,58,,
1192,52,,
1254,101,,
1306,115,S,
1349,73,,
1405,115,S,Cita para entregar documentación.
1423,,N,
1469,84,,
1477,99,,
1527,110,S,
1556,56,,
1579,40,,
1635,,N,
1670,,N,
1723,62,,
1765,76,,
1768,87,,
1777,64,,
1838,71,,
1875,84,,
1968,83,,
2023,,N,
2025,89,,
2035,69,,
2079,71,,
2151,86,,
2152,91,,
2155,,N,
2169,81,,
2207,114,S,
2256,94,,
2277,67,,
2283,49,,
2337,30,,
2342,,N,
2350,117,S,Cita para entregar documentación.
2367,57,,
2375,,N,
2377,95,,
2395,67,,
2398,102,,
2422,,N,
2451,108,S,Cita para entregar documentación.
2478,,N,
2504,59,,
2534,58,,
2575,83,,
2580,91,,
2609,95,,
2732,,N,
2832,73,,
2894,38,,
2959,46,,
3019,106,S,
3116,54,,
3140,89,,
3161,110,S,Cita para entregar documentación.
3181,42,,
3240,99,,
3254,52,,
3309,116,S,
3337,61,,
3393,107,S,
3394,65,,
3396,,N,
3422,64,,
3454,97,,
3471,38,,
3478,47,,
3482,,N,
3519,110,S,Cita para entregar documentación.
3538,89,,
3548,53,,
3567,80,,
3570,116,S,Cita para entregar documentación.
3578,87,,
3585,27,,
3591,81,,
3593,67,,
3603,84,,
3605,94,,
3615,76,,
3631,62,,
3663,,N,
3665,,N,
3756,88,,
3800,70,,
3836,89,,
3840,79,,
3872,,N,
3884,65,,
3885,96,,
3901,52,,
3918,102,,
4010,105,,
4012,60,,
4106,56,,
4139,50,,
4172,114,S,Cita para entregar documentación.
4365,59,,
4426,101,,
4477,58,,
4548,59,,
4584,72,,
4614,74,,
4642,78,,
4661,54,,
4671,50,,
4689,,N,
4703,55,,
4727,70,,
4742,50,,
4786,40,,
4836,46,,
4906,96,,
4920,117,S,
4921,105,,
4924,117,S,Cita para entregar documentación.
4927,88,,
5036,68,,
5055,90,,
5075,82,,
5081,,N,
5119,,,Cita para aclarar situación escolar.
5148,,N,
5162,97,,
5165,91,,
5183,90,,
5200,86,,
5266,58,,
5292,46,,
5327,73,,
5348,83,,
5394,63,,
5468,74,,
5583,76,,
5625,69,,
5751,45,,
5842,61,,
5852,,N,
5884,,N,
5903,52,,
5930,76,,
6018,40,,
6091,79,,
6201,72,,
6389,,N,
6431,78,,
6590,51,,
6610,107,S,Cita para entregar documentación.
6619,37,,
6620,,N,
6714,76,,
6740,78,,
6801,61,,
6812,,N,
6893,55,,
6901,41,,
6958,81,,
6973,30,,
6987,53,,
7086,72,,
7102,,N,
7269,,N,
7316,57,,
7335,87,,
7371,53,,
7389,30,,
7400,93,,
7558,53,,
7559,78,,
7573,73,,
7643,86,,
7672,,N,
7707,,N,
7764,50,,
7777,102,,
7785,62,,
7874,49,,
7904,,N,
7945,47,,
7951,82,,
8003,35,,
8063,101,,
8136,112,S,Cita para entregar documentación.
8232,84,,
8241,,N,
8257,,N,
8267,89,,
8276,83,,
8290,107,S,
8295,104,,
8309,,N,
8380,37,,
8446,105,,
8462,91,,
8603,88,,
8614,51,,
8644,49,,
8686,,N,
8692,66,,
8717,48,,
8731,66,,
8773,72,,
8828,116,S,Cita para entregar documentación.
8842,94,,
8882,60,,
8907,38,,
8965,,N,
8998,105,,
9123,59,,
9159,43,,
9179,87,,
9196,99,,
9220,57,,
9289,,N,
9292,,N,
9360,103,,
9364,106,S,Cita para entregar documentación.
9376,111,S,Cita para entregar documentación.
9459,,N,
9477,49,,
9502,78,,
9510,95,,
9670,40,,
9691,53,,
9711,63,,
9727,108,S,
9745,100,,
9747,69,,
9824,,N,
9859,54,,
9975,,N,
9986,56,,
10127,89,,
10156,55,,
10173,60,,
10327,103,,
10331,75,,
10332,74,,
10385,,N,
10493,84,,
10514,54,,
10538,111,S,Cita para entregar documentación.
10645,55,,
10681,57,,
10753,69,,
10838,67,,
10875,,N,
10895,67,,
10898,,N,
10902,80,,
10974,69,,
10978,72,,
10987,60,,
11035,106,S,
11165,113,S,Cita para entregar documentación.
11259,38,,
11274,54,,
11286,,N,
11376,104,,
11396,106,S,
11411,67,,
11414,57,,
11440,42,,
11501,68,,
11554,60,,
11622,,N,
11626,73,,
11640,,N,
11674,82,,
11693,37,,
11740,45,,
11750,86,,
11841,,N,
11947,90,,
11950,42,,
11995,,N,
12095,,N,
12105,,N,
12118,55,,
12130,60,,
12157,57,,
12161,64,,
12174,39,,
12248,76,,
12283,54,,
12284,44,,
12347,51,,
12352,63,,
12359,109,S,
12362,114,S,
12363,68,,
12397,84,,
12561,67,,
12606,98,,
12637,54,,
12638,116,S,
12675,39,,
12687,48,,
12714,,N,
12715,99,,
12737,63,,
12795,92,,
12812,87,,
12833,77,,
12845,84,,
12915,,N,
12917,59,,
12927,42,,
12967,85,,
12984,104,,
13007,,N,
13034,43,,
13050,114,S,Cita para entregar documentación.
13059,81,,
13067,36,,
13347,74,,
13370,111,S,
13378,92,,
13402,70,,
13430,80,,
13434,83,,
13468,,N,
13488,96,,
13530,51,,
13552,113,S,Cita para entregar documentación.
13560,93,,
13669,88,,
13680,108,S,Cita para entregar documentación.
13755,105,,
13855,77,,
13881,64,,
14107,86,,
14125,30,,
14212,92,,
14359,82,,
14366,96,,
14396,65,,
14405,82,,
14417,88,,
14433,79,,
14437,62,,
14461,66,,
14470,57,,
14471,53,,
14642,72,,
14653,56,,
14781,75,,
14790,,N,
14965,,N,
14992,38,,
15015,90,,
15019,49,,
15094,45,,
15095,94,,
15141,68,,
15167,,N,
15204,63,,
15233,,N,
15242,77,,
15383,,N,
15516,,N,
15543,67,,
15595,,N,
15611,50,,
15665,103,,
15677,57,,
15689,58,,
15739,62,,
15769,81,,
15826,108,S,
15828,108,S,
15831,113,S,
15833,79,,
15883,106,S,Cita para entregar documentación.
15938,92,,
15943,,N,
16014,95,,
16069,79,,
16071,83,,
16100,40,,
16110,108,S,Cita para entregar documentación.
16139,49,,
16220,73,,
16277,60,,
16279,61,,
16293,88,,
16308,89,,
16318,46,,
16341,87,,
16377,79,,
16402,60,,
16490,42,,
16506,48,,
16595,60,,
16609,41,,
16610,106,S,Cita para entregar documentación.
16634,72,,
16680,64,,
16742,44,,
16795,49,,
16890,113,S,Cita para entregar documentación.
16928,86,,
16946,53,,
16989,,N,
17139,115,S,Cita para entregar documentación.
17166,113,S,Cita para entregar documentación.
17172,96,,
17187,101,,
17218,,N,
17327,60,,
17331,67,,
17345,39,,
17484,52,,
17502,,N,
17613,74,,
17681,95,,
17746,99,,
17807,96,,
17826,48,,
17877,73,,
17904,75,,
17931,52,,
17947,64,,
18035,76,,
18047,102,,
18053,,N,
18060,60,,
18075,109,S,Cita para entregar documentación.
18088,76,,
18113,65,,
18142,89,,
18267,102,,
18290,84,,
18339,108,S,Cita para entregar documentación.
18342,108,S,Cita para entregar documentación.
18372,,N,
18426,45,,
18453,59,,
18497,53,,
18506,85,,
18519,94,,
18578,,N,
18623,88,,
18657,108,S,Cita para entregar documentación.
18699,70,,
18718,53,,
18826,36,,
18874,87,,
18899,59,,
18954,56,,
18989,78,,
19079,56,,
19107,63,,
19170,112,S,Cita para entregar documentación.
19294,56,,
19296,,N,
19372,83,,
19385,106,S,Cita para entregar documentación.
19391,88,,
19471,,N,
19577,64,,
19580,63,,
19586,106,S,Cita para entregar documentación.
19587,99,,
19662,88,,
19787,79,,
19848,95,,
19942,87,,
19948,74,,
19967,75,,
20006,,N,
20014,,N,
20081,74,,
20113,82,,
20150,86,,
20158,92,,
20171,102,,
20207,56,,
20275,78,,
20301,62,,
20320,,N,
20325,40,,
20369,96,,
20381,83,,
20387,65,,
20466,69,,
20478,,N,
20493,36,,
20549,94,,
20557,34,,
20689,91,,
20827,54,,
20843,45,,
20894,70,,
20981,49,,
21161,33,,
21181,78,,
21195,99,,
21213,,N,
21297,50,,
21392,,N,
21411,83,,
21477,45,,
21507,108,S,Cita para entregar documentación.
21535,104,,
21565,78,,
21571,55,,
21603,87,,
21629,63,,
21650,99,,
21699,101,,
21701,55,,
21703,,N,
21829,75,,
21851,86,,
21989,55,,
22039,,N,
22166,100,,
22276,,N,
22358,66,,
22421,105,,
22424,112,S,
22448,102,,
22485,45,,
22612,50,,
22746,105,,
22779,75,,
22794,65,,
22838,89,,
22848,68,,
22884,114,S,Cita para entregar documentación.
22887,103,,
22888,,N,
22904,33,,
22943,113,S,Cita para entregar documentación.
22947,,N,
23045,108,S,Cita para entregar documentación.
23187,90,,
23203,100,,
23256,,N,
23330,94,,
23346,72,,
23402,102,,
23406,63,,
23418,90,,
23430,81,,
