Número de comprobante,Aciertos,Acreditado,Detalles
39,99,,
45,58,,
130,92,,
190,72,,
219,99,,
229,108,,
233,77,,
235,68,,
242,35,,
268,103,,
274,105,,
358,80,,
421,,N,
433,112,S,
436,113,S,Cita para entregar documentación.
448,,N,
481,106,,
568,86,,
674,39,,
677,100,,
704,102,,
750,114,S,
768,96,,
785,51,,
806,110,S,Cita para entregar documentación.
833,80,,
843,,N,
883,,N,
896,47,,
902,116,S,Cita para entregar documentación.
928,59,,
987,87,,
991,75,,
1092,47,,
1112,102,,
1142,37,,
1170,,N,
1199,94,,
1234,79,,
1263,78,,
1269,76,,
1274,,N,
1368,112,S,
1418,115,S,Cita para entregar documentación.
1507,,N,
1544,52,,
1558,60,,
1600,42,,
1735,,N,
1748,66,,
1763,77,,
1777,100,,
1802,108,,
1815,,N,
1842,51,,
1852,92,,
1870,84,,
1874,,N,
1889,90,,
1894,96,,
1954,78,,
1986,89,,
2044,96,,
2075,89,,
2086,,N,
2096,76,,
2138,86,,
2189,71,,
2211,82,,
2254,61,,
2271,,N,
2315,81,,
2328,50,,
2329,93,,
2336,62,,
2342,91,,
2344,107,,
2359,51,,
2405,71,,
2419,,N,
2433,91,,
2439,41,,
2460,78,,
2492,70,,
2498,110,S,
2520,64,,
2528,57,,
2534,99,,
2549,53,,
2559,59,,
2565,64,,
2585,72,,
2598,40,,
2630,76,,
2670,103,,
2710,112,S,Cita para entregar documentación.
2761,103,,
2806,104,,
2825,58,,
2829,65,,
2830,101,,
2927,99,,
2937,61,,
2990,113,S,Cita para entregar documentación.
2995,111,S,Cita para entregar documentación.
3064,110,S,Cita para entregar documentación.
3172,90,,
3193,64,,
3223,71,,
3297,87,,
3312,,N,
3334,31,,
3438,78,,
3447,85,,
3507,79,,
3521,62,,
3545,80,,
3599,92,,
3641,43,,
3681,102,,
3709,60,,
3719,71,,
3737,78,,
3746,45,,
3749,,N,
3758,106,,
3759,67,,
3840,93,,
3843,55,,
3855,103,,
3931,58,,
3944,66,,
3988,73,,
4003,,N,
4014,47,,
4039,78,,
4058,41,,
4124,66,,
4179,100,,
4184,72,,
4217,51,,
4234,96,,
4268,40,,
4297,106,,
4317,62,,
4326,49,,
4360,57,,
4429,96,,
4445,,N,
4484,62,,
4502,50,,
4529,75,,
4578,87,,
4605,67,,
4613,59,,
4632,49,,
4643,88,,
4722,57,,
4724,83,,
4737,90,,
4773,,N,
4781,68,,
4804,96,,
4849,58,,
4874,109,,
4878,,N,
4920,33,,
4976,100,,
4995,66,,
5029,60,,
5067,84,,
5103,79,,
5201,78,,
5230,43,,
5231,94,,
5255,76,,
5301,40,,
5323,89,,
5404,53,,
5411,75,,
5419,,N,
5516,106,,
5603,81,,
5636,39,,
5637,90,,
5641,108,,
5648,102,,
5738,68,,
5748,53,,
5806,113,S,
5807,70,,
5812,38,,
5870,111,S,Cita para entregar documentación.
5916,62,,
5973,108,,
5977,,N,
6029,48,,
6041,48,,
6069,56,,
6088,87,,
6153,104,,
6262,78,,
6269,72,,
6281,65,,
6286,,N,
6287,44,,
6320,75,,
6325,75,,
6340,37,,
6342,,N,
6406,56,,
6438,61,,
6454,60,,
6455,85,,
6458,47,,
6506,67,,
6531,,N,
6533,38,,
6536,64,,
6574,76,,
6582,103,,
6586,52,,
6655,59,,
6662,48,,
6663,,N,
6675,45,,
6689,50,,
6704,85,,
6761,74,,
6804,74,,
6826,92,,
6830,,N,
6847,101,,
6911,54,,
6936,97,,
6937,68,,
6942,94,,
6980,42,,
7010,43,,
7121,,N,
7180,33,,
7215,53,,
7243,58,,
7279,34,,
7287,49,,
7316,47,,
7344,48,,
7350,,N,
7358,42,,
7386,59,,
7402,57,,
7440,64,,
7461,55,,
7481,83,,
7482,93,,
7486,90,,
7545,65,,
7546,98,,
7558,,N,
7567,69,,
7581,70,,
7595,27,,
7601,,N,
7610,83,,
7638,90,,
7664,63,,
7665,46,,
7715,89,,
7749,108,,
7757,95,,
7764,75,,
7779,29,,
7810,,N,
7827,59,,
7852,50,,
7888,77,,
7912,105,,
7922,99,,
7930,70,,
7962,76,,
7964,96,,
7986,74,,
7996,62,,
8002,54,,
8015,93,,
8031,74,,
8049,73,,
8118,,N,
8212,91,,
8233,71,,
8237,77,,
8261,,N,
8295,52,,
8344,39,,
8347,103,,
8355,44,,
8401,87,,
8412,,N,
8444,46,,
8445,96,,
8453,,N,
8476,104,,
8539,,N,
8547,40,,
8556,65,,
8560,,N,
8575,75,,
8646,77,,
8679,,N,
8689,99,,
8711,,N,
8744,82,,
8771,97,,
8782,,N,
8899,,N,
8906,70,,
8924,76,,
8939,54,,
8942,90,,
8964,70,,
8965,82,,
8975,69,,
9006,97,,
9037,101,,
9066,47,,
9067,,N,
9070,86,,
9082,35,,
9091,52,,
9095,,N,
9114,89,,
9135,21,,
9316,,N,
9326,81,,
9327,114,S,Cita para entregar documentación.
9333,55,,
9337,67,,
9341,47,,
9359,,N,
9376,66,,
9398,71,,
9513,114,S,
9559,77,,
9608,106,,
9668,108,,
9695,112,S,Cita para entregar documentación.
9716,,N,
9727,96,,
9745,69,,
9747,83,,
9756,62,,
9769,109,,
9783,80,,
9831,90,,
9853,98,,
9867,53,,
9877,71,,
9919,102,,
9994,,N,
9997,49,,
10048,51,,
10055,104,,
10069,84,,
10130,,N,
10134,114,S,
10163,120,S,Cita para entregar documentación.
10174,107,,
10181,98,,
10198,90,,
10210,76,,
10293,,N,
10421,,N,
10434,63,,
10481,112,S,Cita para entregar documentación.
10489,112,S,Cita para entregar documentación.
10512,68,,
10545,77,,
10654,71,,
10753,99,,
10817,,N,
10834,114,S,Cita para entregar documentación.
10931,64,,
10943,63,,
10956,,N,
10974,63,,
11000,82,,
11046,63,,
11051,88,,
11070,109,,
11072,37,,
11075,55,,
11107,86,,
11148,68,,
11150,89,,
11152,104,,
11189,114,S,
11252,41,,
11253,82,,
11256,51,,
11273,,N,
11302,,N,
11312,59,,
11317,79,,
11344,66,,
11414,,N,
11448,,N,
11457,60,,
11479,,N,
11517,66,,
11535,73,,
11558,114,S,Cita para entregar documentación.
11602,41,,
11665,72,,
11746,50,,
11799,111,S,Cita para entregar documentación.
11852,48,,
11858,89,,
11873,104,,
11881,76,,
11888,110,S,Cita para entregar documentación.
11996,96,,
12010,47,,
12057,111,S,
12062,55,,
12081,55,,
12086,108,,
12105,68,,
12111,68,,
12131,81,,
12139,55,,
12156,57,,
12163,91,,
12166,45,,
12245,115,S,Cita para entregar documentación.
12313,103,,
12342,86,,
12397,58,,
12422,59,,
12473,92,,
12488,40,,
12499,74,,
12509,98,,
12615,,N,
12624,60,,
12628,,N,
12724,105,,
12733,70,,
12755,109,,
12757,55,,
12779,,N,
12784,72,,
12818,116,S,
12851,92,,
12852,111,S,Cita para entregar documentación.
12857,36,,
12913,70,,
12937,112,S,Cita para entregar documentación.
12979,116,S,Cita para entregar documentación.
13004,,N,
13084,94,,
13096,,N,
13113,82,,
13158,55,,
13169,94,,
13200,,N,
13229,56,,
13253,,N,
13262,58,,
13285,85,,
13301,89,,
13318,90,,
13350,66,,
13352,53,,
13362,90,,
13374,99,,
13376,105,,
13403,,N,
13478,87,,
13503,84,,
13507,37,,
13534,107,,
13562,42,,
13579,78,,
13650,,N,
13665,55,,
13673,,N,
13698,71,,
13734,88,,
13784,,N,
13853,,,Cita para aclarar situación escolar.
13918,110,S,Cita para entregar documentación.
13952,50,,
13987,93,,
14037,112,S,Cita para entregar documentación.
14102,41,,
14115,,N,
14129,98,,
14215,,N,
14241,77,,
14256,78,,
14281,,N,
14296,80,,
14305,113,S,Cita para entregar documentación.
14306,71,,
14312,,N,
14344,61,,
14408,99,,
14449,97,,
14455,48,,
14475,,N,
14488,72,,
14548,52,,
14557,68,,
14566,103,,
14590,71,,
14599,39,,
14682,42,,
14689,73,,
14698,56,,
14764,44,,
14768,109,,
14775,94,,
14806,93,,
14832,90,,
14835,101,,
14852,66,,
14853,94,,
14855,,N,
14881,35,,
14888,,N,
14950,,N,
14955,,N,
14956,78,,
15012,69,,
15018,68,,
15065,39,,
15102,,N,
15118,50,,
15129,80,,
15150,73,,
15174,37,,
15197,,N,
15214,51,,
15216,,N,
15223,81,,
15251,,,Cita para aclarar situación escolar.
15253,107,,
15256,95,,
15263,86,,
15284,48,,
15286,67,,
15298,88,,
15331,113,S,
15470,41,,
15570,65,,
15575,76,,
15597,111,S,Cita para entregar documentación.
15657,46,,
15687,69,,
15702,,N,
15703,47,,
15720,,N,
15742,,N,
15760,77,,
15780,85,,
15794,77,,
15820,101,,
15827,35,,
15837,92,,
15899,65,,
15911,,N,
15962,67,,
15971,57,,
16070,82,,
16077,70,,
16087,89,,
16101,64,,
16141,80,,
16186,73,,
16287,,N,
16319,73,,
16345,43,,
16387,84,,
16389,64,,
16392,44,,
16399,86,,
16409,95,,
16458,,N,
16468,101,,
16497,66,,
16540,100,,
16563,,N,
