Número de comprobante,Aciertos,Acreditado,Detalles
41,85,,
69,59,,
111,91,,
151,70,,
210,,N,
279,92,,
281,72,,
298,64,,
342,116,S,Cita para entregar documentación.
346,90,,
399,51,,
482,84,,
500,41,,
577,37,,
586,105,,
609,81,,
617,115,S,Cita para entregar documentación.
646,102,,
653,,N,
668,,N,
935,78,,
952,114,S,Cita para entregar documentación.
985,,N,
1082,115,S,
1098,107,,
1121,,N,
1192,75,,
1258,99,,
1260,85,,
1362,61,,
1365,74,,
1406,91,,
1521,100,,
1562,77,,
1672,79,,
1680,115,S,Cita para entregar documentación.
1698,96,,
1710,97,,
1795,41,,
1875,50,,
1959,78,,
1966,100,,
1974,85,,
1975,,N,
2016,97,,
2120,109,S,Cita para entregar documentación.
2122,78,,
2135,66,,
2160,77,,
2184,,N,
2390,,N,
2426,92,,
2458,39,,
2488,94,,
2500,38,,
2514,58,,
2517,63,,
2570,73,,
2578,22,,
2621,,N,
2684,79,,
2766,,N,
2781,110,S,Cita para entregar documentación.
2792,76,,
2793,88,,
2829,,N,
2849,85,,
2866,,N,
2938,56,,
2950,61,,
3013,,N,
3025,114,S,Cita para entregar documentación.
3035,,N,
3084,82,,
3188,67,,
3202,75,,
3230,115,S,
3290,110,S,Cita para entregar documentación.
3292,,N,
3375,69,,
3423,103,,
3442,44,,
3452,79,,
3471,,N,
3514,36,,
3596,114,S,
3628,103,,
3645,63,,
3663,113,S,Cita para entregar documentación.
3694,79,,
3714,91,,
3808,106,,
3832,100,,
3839,101,,
3854,,N,
3855,,C,
3857,81,,
3858,39,,
3971,,N,
4022,36,,
4054,91,,
4071,108,S,
4089,87,,
4187,,N,
4211,1,,
4246,99,,
4345,114,S,Cita para entregar documentación.
4445,100,,
4448,59,,
4467,97,,
4530,99,,
4573,115,S,Cita para entregar documentación.
4585,,N,
4637,113,S,Cita para entregar documentación.
4724,,N,
4743,91,,
4797,79,,
4840,110,S,Cita para entregar documentación.
4857,93,,
4887,,N,
4894,87,,
4956,47,,
4996,101,,
5017,101,,
5028,116,S,Cita para entregar documentación.
5097,62,,
5277,85,,
5457,101,,
5460,107,,
5488,,N,
5505,46,,
5596,119,S,Cita para entregar documentación.
5598,,N,
5697,93,,
5769,36,,
5830,,N,
5887,53,,
5896,62,,
5920,93,,
5971,109,S,Cita para entregar documentación.
5972,106,,
6006,75,,
6009,78,,
6063,89,,
6164,55,,
6207,60,,
6213,100,,
6229,57,,
6317,104,,
6378,,N,
6475,43,,
6638,74,,
6693,75,,
6707,111,S,Cita para entregar documentación.
6718,85,,
6723,,N,
6762,98,,
6797,39,,
6833,92,,
6909,,N,
6973,104,,
6977,94,,
7027,83,,
7046,,N,
7059,31,,
7077,70,,
7182,83,,
7188,38,,
7206,,N,
7260,114,S,Cita para entregar documentación.
7294,,N,
7441,73,,
7505,81,,
7507,,N,
7552,108,S,Cita para entregar documentación.
7568,,N,
7685,99,,
7698,13,,
7769,77,,
7782,52,,
7801,85,,
7817,110,S,Cita para entregar documentación.
7826,89,,
7919,80,,
7981,104,,
8094,99,,
8227,85,,
8316,,N,
8348,104,,
8405,95,,
8466,,N,
8468,61,,
8576,64,,
8595,60,,
8650,68,,
8659,81,,
8680,,N,
8704,,N,
8711,40,,
8738,89,,
8764,109,S,Cita para entregar documentación.
8909,94,,
8930,94,,
8945,107,,
8951,74,,
8953,46,,
8992,71,,
9013,60,,
9026,102,,
9051,109,S,Cita para entregar documentación.
9110,93,,
9147,97,,
9166,106,,
9194,85,,
9242,46,,
9309,55,,
9321,63,,
9371,,N,
9401,87,,
9419,96,,
9472,74,,
9488,65,,
9527,89,,
9546,108,S,Cita para entregar documentación.
9568,48,,
9709,98,,
9711,76,,
9729,93,,
9945,52,,
10019,84,,
10082,86,,
10099,44,,
10104,94,,
10119,83,,
10365,111,S,Cita para entregar documentación.
10371,108,S,Cita para entregar documentación.
10388,56,,
10474,95,,
10512,57,,
10537,51,,
10548,103,,
10591,90,,
10622,35,,
10642,98,,
10660,76,,
10693,74,,
10806,,C,
10828,102,,
10952,58,,
11031,115,S,Cita para entregar documentación.
11126,97,,
11150,49,,
11299,106,,
11303,14,,
11347,95,,
11399,95,,
11453,94,,
11469,78,,
11489,,N,
11492,84,,
11501,87,,
11515,35,,
11542,83,,
11612,51,,
11638,107,,
11817,50,,
