Número de comprobante,Aciertos,Acreditado,Detalles
18,60,,
24,86,,
31,94,,
58,112,S,
66,53,,
80,111,S,Cita para entregar documentación.
81,106,,
101,43,,
113,,N,
126,101,,
131,47,,
179,111,S,Cita para entregar documentación.
180,86,,
184,,N,
186,80,,
200,,N,
203,102,,
236,,N,
248,75,,
292,,N,
329,56,,
333,53,,
339,103,,
340,,N,
368,109,S,Cita para entregar documentación.
378,101,,
394,80,,
410,,N,
426,87,,
434,105,,
444,93,,
449,35,,
454,,N,
456,71,,
481,,N,
483,113,S,Cita para entregar documentación.
488,100,,
495,,N,
503,,N,
514,49,,
517,58,,
521,40,,
560,73,,
562,45,,
570,71,,
580,56,,
582,107,,
583,,N,
631,106,,
636,,N,
657,46,,
666,105,,
691,41,,
692,104,,
723,73,,
724,,N,
730,62,,
751,88,,
799,85,,
800,81,,
824,84,,
863,98,,
919,66,,
970,62,,
997,64,,
1018,,N,
1030,49,,
1079,,N,
1101,52,,
1121,100,,
1187,,N,
1189,,N,
1190,107,,
1199,50,,
1207,109,S,
1233,68,,
1392,82,,
1397,80,,
1423,67,,
1444,50,,
1527,66,,
1551,61,,
1552,67,,
1641,73,,
1673,,N,
1753,51,,
1885,,N,
1925,100,,
1931,95,,
1933,39,,
1945,43,,
1953,62,,
1964,83,,
1967,79,,
2040,80,,
2113,,,Cita para aclarar situación escolar.
2137,84,,
2145,98,,
2149,93,,
2156,,N,
2171,104,,
2214,103,,
2222,,N,
2232,,N,
2233,114,S,
2241,111,S,Cita para entregar documentación.
2265,78,,
2285,54,,
2287,91,,
2297,85,,
2328,95,,
2349,96,,
2351,,N,
2360,91,,
2365,112,S,
2378,97,,
2400,,N,
2404,,N,
2415,67,,
2431,110,S,Cita para entregar documentación.
2433,96,,
2443,89,,
2455,111,S,Cita para entregar documentación.
2462,53,,
2485,104,,
2508,103,,
2513,,N,
2538,105,,
2543,104,,
2585,,N,
2616,110,S,Cita para entregar documentación.
2624,101,,
2640,89,,
2680,,N,
2771,65,,
2917,62,,
2933,111,S,Cita para entregar documentación.
2937,108,S,Cita para entregar documentación.
2949,,N,
2953,,N,
2968,61,,
2973,82,,
3005,,N,
3012,95,,
3019,108,S,Cita para entregar documentación.
3022,83,,
3040,,N,
3049,,N,
3068,64,,
3174,78,,
3203,97,,
3226,85,,
3236,,N,
3242,111,S,
3290,89,,
3304,77,,
3320,98,,
3321,98,,
3336,116,S,
3373,71,,
3450,55,,
3453,31,,
3490,77,,
3529,,N,
3585,77,,
3600,52,,
3637,102,,
3638,85,,
3657,106,,
3662,43,,
3666,65,,
3693,,N,
3710,97,,
3736,,N,
3743,80,,
3770,,N,
3789,93,,
3831,68,,
3851,55,,
3857,111,S,Cita para entregar documentación.
3914,64,,
3955,77,,
3969,111,S,
3989,72,,
4068,98,,
4104,84,,
4155,59,,
4170,50,,
4186,80,,
4206,91,,
4222,104,,
4256,42,,
4261,46,,
4263,49,,
4315,97,,
4371,78,,
4372,69,,
4425,56,,
4524,93,,
4526,43,,
4544,61,,
4547,86,,
4619,,N,
4623,88,,
4684,38,,
4713,58,,
4740,,N,
4747,82,,
4758,102,,
4776,65,,
4786,57,,
4794,98,,
4802,,N,
4857,85,,
4861,,N,
4865,,N,
4889,114,S,
4897,29,,
4940,,N,
4948,87,,
4949,50,,
4989,91,,
5020,103,,
5032,79,,
5054,116,S,
5062,109,S,Cita para entregar documentación.
5116,84,,
5117,62,,
5150,114,S,Cita para entregar documentación.
5171,,N,
5177,51,,
5196,85,,
5208,74,,
5214,40,,
5222,91,,
5285,64,,
5305,105,,
5334,51,,
5353,54,,
5365,,N,
5384,,N,
5422,103,,
5505,61,,
5543,,N,
5572,66,,
5581,62,,
5621,,N,
5627,97,,
5658,,N,
5670,56,,
5698,84,,
5699,63,,
5709,105,,
5723,75,,
5739,84,,
5775,56,,
5800,95,,
5801,102,,
5870,59,,
5880,70,,
5892,78,,
5910,68,,
5941,,N,
5965,66,,
6009,98,,
6040,87,,
6043,55,,
6082,44,,
6086,77,,
6092,69,,
6100,58,,
6110,,N,
6114,51,,
6115,102,,
6128,29,,
6157,49,,
6188,111,S,Cita para entregar documentación.
6247,39,,
6271,86,,
6285,62,,
6320,76,,
6330,71,,
6341,,N,
6393,84,,
6418,75,,
6451,53,,
6453,79,,
6457,,N,
6463,,N,
6489,83,,
6522,54,,
6531,,N,
6534,75,,
6538,56,,
6577,26,,
6591,40,,
6604,,N,
6608,45,,
6627,,N,
